id,pdm
01697,ACESSORIO DE PORTA
02337,ALIZAR DE MADEIRA
02632,APARA DE MADEIRA
03407,BARROTE
04181,CAIXILHO MADEIRA
04434,CANTONEIRA DE MADEIRA
04576,CARRETEL MADEIRA PARA CABO
04709,CAVACO MADEIRA
05382,COMEIA
05396,COMPENSADO MADEIRA
05397,COMPENSADO DE MADEIRA A PROVA DE FOGO
05587,CONEXAO - AGLOMERADO
05800,CONTRAMARCO - PORTA
05940,COSTANEIRA
05987,CRUZETA DE MADEIRA DE LEI PARA REDE
05989,CRUZETA IMUNIZADA REDE ELÉTRICA
07053,ESQUADRIA - MADEIRA
07054,ESQUADRIA - METALICA
07055,FITA BORDA
07075,ESTACA DE MADEIRA
07736,FÓRMICA
08046,GRADE JANELA
08521,JANELA DE MADEIRA
08633,LAMINADO MADEIRA
08634,CUNHA MADEIRA
08635,LAMINADO MELAMÍNICO
09011,LAMBRIL
09012,MADEIRA ASSOALHO
09013,MADEIRA ENTALHAMENTO
09014,MADEIRA DE TORNEAMENTO
09015,MADEIRA CONSTRUÇÃO
09017,MADEIRA PREPARADA PARA FOSFORO
09018,PALITO MADEIRA
09378,PORTAL MADEIRA
10086,NINHO
10299,PAINEL DE MADEIRA COMPENSADA
10781,PISO ELEVADO - PEÇA/COMPONENTE
10825,PLACA COMPENSADO
10826,PLACA DE COMPENSADO DE MADEIRA A PROVA DE AGUA
10827,PLACA DE COMPENSADO DE MADEIRA A PROVA DE FOGO
10831,PLACA DE FOLHEADO
10996,PONTAL DE MADEIRA
10997,PONTALETE DE MADEIRA
11030,PORTAS
11071,PORTA
11078,PORTA GIRATORIA DE MADEIRA
11107,POSTE DE MADEIRA
11110,POSTE DE MADEIRA PARA LINHA DE DISTRIBUICAO
11111,POSTE DE MADEIRA PARA LINHA DE FORCA
11134,PRANCHAO BITOLADO
11230,PRODUTO DE PRESERVACAO DE MADEIRA
11753,RIPA
11775,RODAPÉ
12045,SERRAGEM
12190,SOLEIRA DE MADEIRA
12191,SOLEIRA DE PEDRA
12192,SOLEIRA METALICA
12460,TÁBUA BITOLADA
12463,TÁBUA MADEIRA
12477,TACO DE MADEIRA
12478,TACO PARA ASSOALHO
12558,TARUGO DE MADEIRA
12593,TELA EXCLUIDORA - APICOLA
12739,TINTA DE MADEIRA
13437,VIGA DE MADEIRA
13443,VIGOTA DE MADEIRA
13882,FILETE MADEIRA
14035,PLACA DE AGLOMERADO
14744,PLACA MADEIRA
15016,CHAPA PAPELÃO PRENSADO
15034,MOLDURA TETO
15283,SARRAFO
15638,MARCO MADEIRA
16285,PORTA VAI-VEM
16606,FOLHA FORMICA
17015,TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA
17016,ESQUADRIA
17017,COMPENSADOS E FOLHEADOS
18427,LAMINADO DECORATIVO
18609,GRANZEPE MADEIRA
18645,RODAMEIO
18759,FITA ENCABEÇAMENTO
19015,CRUZETA MADEIRA
