01657,ACESSORIO / COMPONENTE - MESA MICROCOMPUTADOR
00376,ARQUIVO DESLIZANTE PEÇAS / ACESSÓRIOS
07098,ESTANTE DESLIZANTE - MECANICA
05302,COFRE / ARMARIO ANTICHAMA - GAVETEIRO
05303,COFRE ANTICHAMA
06909,ARQUIVO ESCANINHOS
11915,SALA COFRE BLINDADA
07097,ESTANTE DESLIZANTE - ELETROELETRONICA
07101,ESTANTE MULTIMÍDIA
00324,BALCÃO ATENDIMENTO
03246,BALCÃO
09642,MESA MANIPULAÇÃO / PREPARAÇÃO ALIMENTOS
07085,MÓDULO ESTAÇÃO TRABALHO - DIVISÓRIA / MÓDULO
13563,ESTANTE
09635,MESA DESOPERCULADORA - APÍCOLA
00218,ESTANTE
04091,POLTRONA RECLINÁVEL
07099,ESTANTE MADEIRA
04662,CARTEIRA ESCOLAR - COMPONENTE
06073,DESCANSO PÉS
04079,CADEIRA EMPILHÁVEL
03248,BALCÃO TÉRMICO - PEÇAS/ACESSÓRIOS
12420,SUPORTE PASTA SUSPENSA
09668,MESA / BANCA - GEMOLOGIA
09611,MESA
01336,MESA TÉRMICA
01334,MESA HIGIENIZAÇÃO
01337,PLACA SUCÇÃO
09660,MESA REUNIÃO RETANGULAR
03035,EXTENSÃO MESA ESCRITÓRIO
04110,CAIXA CD-ROM
01335,MESA SUCÇÃO
13597,MESA DE REUNIÃO
01454,QUADRO BRANCO
04084,CADEIRA FIXA SEM BRACO
04083,CADEIRA COM BRAÇO
15005,ESTAÇÃO TRABALHO / DIVISÓRIAS MOBILIÁRIOS DIVERSOS
15304,ARMÁRIO VESTIÁRIO
15315,CONJUNTO ARMAÇÃO MESA
13726,MESA APOIO
00321,MESA ESCRITÓRIO
14785,ESTAÇÃO TRABALHO
18698,MESA-SISTEMA MODULAR ESTAÇÃO DE TRABALHO-GERENCIAL
18699,MESA FUNCIONAL-SISTEMA MODULAR
14303,CADEIRA DIGITADOR
17368,CONJUNTO ESCOLAR
16315,CADEIRA SOBRE LONGARINA
14334,MESA
15290,ARMÁRIO
14399,QUADRO AVISOS
00342,MESA REUNIÃO REDONDA
17803,MESA CANTO
14395,MESA COPA/COZINHA
14242,MÓDULO DE TRABALHO PARA ESCRITÓRIO
18470,SUPORTE PLÁSTICO
14238,CONJUNTO CADEIRAS ESPERA
17203,TRILHO
13678,CADEIRA FIXA
15327,BANCO
13769,CABIDEIRO
14421,PRATELEIRA
18058,COLETOR DE OBJETOS
16082,MESA REFEITÓRIO
16565,MESA LABORATÓRIO
15333,MÓDULO PARA COZINHA
18749,MESA ESCOLAR
16348,QUADRO
17656,PEDESTAL
17199,PEÇA MOBÍLIA
19380,SALA TELEPRESENÇA / VÍDEO CONFERÊNCIA
17198,MOBILIÁRIO DOMÉSTICO
17200,MOBILIARIOS ESCOLAR
17201,ESTANTES E ARMAÇÕES PARA ALMOXARIFADOS
17202,ARMÁRIOS E ESTANTES
00320,ARQUIVO MÓVEL FOLHA FORMATADA
00340,MESA REUNIÃO OVAL
13688,MESA JANTAR COM CADEIRAS
13905,MESA AUXILIAR
13906,MESA TAMPO VIDRO
14006,ARMÁRIO ARQUIVO
14131,PEDESTAL IDENTIFICADOR
14250,MÓDULO DE TRABALHO
14362,QUADRO CHAVES
14370,COFRE PAPELÃO
14397,MESA CENTRO
14428,TAMPO MOBILIÁRIO
14433,MÓVEL MULTIUSO.
14659,MESA SECRETARIA
