"id","pdm"
00594,MANGOTE
00595,MANGUEIRA AR
00615,MANGUEIRA HIDRÁULICA
00616,MANGUEIRA JARDIM
00617,MANGUEIRA SUCÇÃO - SERVIÇOS LEVES
00618,MANGUEIRA SUCÇÃO - SERVIÇOS PESADOS
00619,MANGUEIRA SUCÇÃO - SERVIÇOS SUPER PESADOS
00620,TUBO FLEXÍVEL
00621,ANEL BORRACHA
00622,NIPLE PARA TUBOS CANOS - ROSCÁVEL
00623,TÊ - CONEXÃO PARA TUBOS CANOS - ROSCÁVEL
00624,TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL
00625,UNIÃO SOLDÁVEL
00626,UNIÃO ROSCÁVEL
00656,TUBO AÇO CARBONO COM COSTURA
00657,TUBO AÇO CARBONO SEM COSTURA
00658,TUBO FLEXÍVEL POLIETILENO
00659,TUBO PVC SOLDÁVEL
00660,TUBO PVC ROSCÁVEL
00661,MANGUEIRA HIDRANTE
00662,TUBO METÁLICO FLEXÍVEL
00663,TUBO POLIETILENO FLEXÍVEL
00664,ADAPTADOR TUBO PRECISÃO
00665,BUCHA INSTALAÇÃO PREDIAL ÁGUA FRIA
00666,COTOVELO TUBO CONDUÇÃO METÁLICO
00667,NIPLE TUBO CONDUÇÃO METÁLICA
00668,UNIÃO TUBO CONDUÇÃO METÁLICA
00669,UNIÃO TUBO PRECISÃO
00689,TERMINAL TUBO FLEXÍVEL
00808,TUBO COBRE
01063,TUBO NÁILON FLEXÍVEL
01064,TUBO NÁILON SEMI-RÍGIDO
02432,AMORTECEDOR DE VIBRACAO DE TUBO E CANO
02433,AMORTECEDOR TIPO STOCKBRIDGE PARA LTS
03007,ARMÁRIO DISTRIBUIÇÃO TELEFONIA
03531,BICO MANGUEIRA
03657,BOIA DE OLEODUTO
04147,CAIXA SIFONADA
04425,CANO DE METAL
04427,CANO RIGIDO DE PLASTICO
05019,CINTA TÉRMICA / ACESSÓRIOS
05588,CONEXAO - METALICA
05589,CONEXAO ACO CARBONO ZINCADO
05591,CONEXAO DE ACO CARBONO
05592,CONEXAO DE ACO INOXIDAVEL
05593,CONEXAO DE ACO LIGA
05594,CONEXAO DE ALUMINIO
05596,CONEXAO DE CERAMICA
05597,CONEXAO DE CIMENTO AMIANTO
05598,CONEXÃO METÁLICA
05599,CONEXAO DE CONCRETO PARA TUBO
05603,CONEXÃO FERRO FUNDIDO
05604,CONEXAO DE FERRO GALVANIZADO
05605,CONEXAO DE LIGA DE COBRE
05606,CONEXAO DE PLASTICO
05607,CONEXAO DE PVC ARTICULADA DE MANGUEIRA TIPO JARDIM
05608,CONEXAO DE RESINA DE EPOXI
05609,CONEXAO DE RESINA DE POLIESTER
05610,CONEXAO DE TUBO
05611,CONEXAO DE TUBO FLEXIVEL DE PRODUCAO DE PETROLEO / INJECAO DE AGUA
05613,CONEXAO FLEXIVEL NAO METALICA
05614,CONEXAO HIDRAULICA - CIMENTO
05616,JUNTA FLANGEADA
05622,CONEXAO PARA LUBRIFICACAO
05624,CONEXAO PARA MANGUEIRA DE JARDIM
05625,CONEXAO PARA TUBO
05626,LUVA CONEXÃO
05628,CONEXAO PARA TUBULACAO HIDRAULICA - SANITARIA
06416,DUTO DE PVC
06424,EDUTOR BOMBA DE SUCÇÃO / ENGATE RÁPIDO
06966,ESGUICHO
06967,ESGUICHO NEBULIZADOR / ASPERSOR
08569,JUNTA EXPANSÃO
08570,JUNTA DE EXPANSAO DE MATERIAL METALICO
08571,JUNTA ESPIRALADA
09090,MANGUEIRA VAPOR
09092,MANGUEIRA COMBUSTIVEL - ALCOOL
09093,MANGUEIRA COMBUSTIVEL - GASOLINA
09095,MANGUEIRA COMPLETA PARA CONDUTO DE OLEO
09097,MANGUEIRA DIRECAO HIDRAULICA
09099,MANGUEIRA FLUIDO DE PERFURACAO
09100,MANGUEIRA PARA PRODUTO QUIMICO
09101,MANGUEIRA PARA USO DOMESTICO
09102,MANGUEIRA PRODUTO QUIMICO
09105,MANGUEIRA SISTEMA REFRIGERACAO
09106,MANGUEIRA SUCÇÃO
09107,MANGUEIRA SUCCAO - SERVICOS SUPER PESADOS
09109,MANILHA - GALVANIZADA
09889,MONOBOIA
10015,MULTITUBO DE INSTRUMENTACAO DE LIGA COBRE
10016,MULTITUBO DE LIGA COBRE PARA TELEFONIA
10017,MULTITUBO DE MATERIAL PLASTICO PARA TELEFONIA
10090,NIPLE TUBO CONDUCAO METALICA
10413,PAR DE UNIAO ENGATE RAPIDO PARA MANGOTE
10913,PLUG TUBO
11349,GOTEJADOR
11404,RALO ENTRADA ENGATE RAPIDO / ROSCA INTERNA
11513,REDUCAO ENGATE RAPIDO - GIRATORIA
12123,ASPERSOR
12519,GRELHA RALO
12531,TAMPAO ENGATE RAPIDO
13021,TUBO - CHUMBO
