"id","pdm","grupo"
01026,FORNO ELÉTRICO,73
01031,DESPOLPADEIRA FRUTAS,73
01032,COLHER PAU,73
01041,FOGÃO GÁS,73
01042,FOGÃO LENHA,73
01043,FORNO LENHA,73
01044,FORNO ELÉTRICO PORTÁTIL,73
01045,FORNO MICROONDAS,73
01046,CAÇAROLA,73
01055,ASSADEIRA,73
01056,CHAPA ASSADEIRA/FRITADEIRA,73
01057,ASSADEIRA COZINHA COMERCIAL,73
01058,CALDEIRÃO,73
01059,ESCORREDOR MACARRÃO,73
01060,FORMA,73
01068,FOGAREIRO,73
01069,CAFETEIRA ELÉTRICA,73
01070,FOGÃO INDUSTRIAL,73
01071,ESPREMEDOR FRUTA,73
01072,JARRA TÉRMICA,73
01073,COADOR DESCARTÁVEL CAFÉ,73
01075,PANELA PRESSÃO,73
01076,ESPETO CHURRASCO,73
01077,AÇUCAREIRO,73
01079,BALDE GELO,73
01080,COPO,73
01082,ASSADEIRA DOMÉSTICA,73
01083,MANTEIGUEIRA,73
01093,LIQUIDIFICADOR INDUSTRIAL,73
01094,BOMBONEIRA,73
01095,CANECA CERÂMICA,73
01097,SANDUICHEIRA,73
01099,CESTA PÃO,73
01100,BANDEJA METÁLICA,73
01101,COQUETELEIRA METÁLICA,73
01102,MOLHEIRA,73
01103,PALITEIRO,73
01104,POTE ALIMENTOS,73
01105,FAQUEIRO,73
01106,MULTIPROCESSADOR ALIMENTOS,73
01112,CORTADOR ELÉTRICO FRIOS,73
01113,LAVA-LOUÇAS,73
01114,RALADOR ELÉTRICO,73
01115,GARRAFA TÉRMICA,73
01117,BULE,73
01118,PRATO PORCELANA,73
01125,PROCESSADOR ALIMENTOS,73
01128,GARFO TRINCHANTE,73
01129,GALHETEIRO METAL,73
01130,DESCASCADOR LEGUMES,73
01132,CONCHA,73
01133,BANDEJA,73
01134,POTE VIDRO,73
01135,ESPUMADEIRA,73
01138,PRATO,73
01139,FACA MESA,73
01140,SOPEIRA,73
01142,COLHER MESA,73
01143,SALEIRO PAREDE,73
01145,LEITEIRA,73
01146,GARFO MESA,73
01150,FACA ELÉTRICA,73
01151,TRAVESSA,73
01154,XÍCARA,73
01155,PALITO,73
01156,PORTA-GUARDANAPO,73
01212,ABRIDOR GARRAFA,73
01225,ABRIDOR,73
01235,ABRIDOR LATA MOTORIZADO,73
01287,JARRA,73
01430,FACA DESCARTÁVEL,73
01611,ABRIDOR DE LATA,73
01640,ACENDEDOR A PEDRA DE FOGAO,73
01643,ACENDEDOR FOGÃO,73
01644,ACENDEDOR ELETRICO DE FOGAO,73
01645,ACENDEDOR ELETRONICO DE FOGAO,73
02064,PETISQUEIRA,73
02093,ADAPTADOR GARRAFA TÉRMICA,73
02141,AFIADOR FACA MANUAL/ELÉTRICO,73
02385,AMACIADOR ELETRICO DE CARNE,73
02393,AMASSADOR ELETRICO DE ALIMENTO,73
02394,AMASSADOR ALIMENTO,73
02423,AMOLADOR ELETRICO DE FACA,73
02424,AMOLADOR MANUAL,73
02663,APARELHO COMPLETO SERVIÇO DE CAFÉ,73
02664,APARELHO COMPLETO DE SERVICO DE CHA,73
02665,APARELHO COMPLETO SERVIÇO DE JANTAR,73
02928,AQUECEDOR DE MARMITA,73
02932,AQUECEDOR DE XÍCARAS,73
03074,ARTIGO DE PLASTICO PARA MESA,73
03193,BACIA,73
03205,BAIXELA,73
03206,CONJUNTO BAIXELA,73
03207,BAIXELA DE PORCELANA,73
03208,BAIXELA DE PRATA,73
03244,BALCÃO CONSERVAÇÃO ALIMENTO,73
03300,BANDEJA DE AÇO,73
03304,BANDEJA DE CERAMICA DE REFEICAO,73
03307,BANDEJA DE PLASTICO DE REFEICAO,73
03309,BANDEJA DE REFEIÇÃO,73
03443,BATEDEIRA ELETRICA DE BOLO,73
03445,BATEDEIRA DOMÉSTICA,73
03448,BATEDOR MANUAL,73
03529,UTENSÍLIOS / ACESSÓRIOS PARA CONFEITAR,73
03812,BORRACHA VEDAÇÃO PANELA DE PRESSÃO,73
04105,PEÇAS / ACESSÓRIOS ELETRODOMÉSTICOS,73
04106,CAFETEIRA ELETRICA,73
04107,CAFETEIRA NÃO ELÉTRICA,73
04230,CALDEIRAO,73
04400,CANECA,73
04401,CANECA DE PLÁSTICO,73
04402,CANECA DE ACRÍLICO,73
04436,CANUDO REFRESCO,73
04586,CARRINHO DISTRIBUIÇÃO,73
04607,SOCADOR,73
04758,CENTRIFUGA COZINHA,73
04806,CHALEIRA,73
04807,CHALEIRA DE VIDRO,73
04829,CHAPA FOGÃO EM FERRO FUNDIDO,73
04974,CHURRASQUEIRA,73
05282,COADOR CAFÉ,73
05283,COADOR TIPO PENEIRA,73
05362,COLHER,73
05638,CONJUNTO FORMAS DE COZINHA,73
05690,CONJUNTO ALIMENTAÇÃO,73
05846,COPO CRISTAL,73
05847,COPO DE LIQUIDIFICADOR,73
05848,COPO DE VIDRO,73
05849,COPO DESCARTÁVEL,73
05850,COQUETELEIRA DE CERAMICA,73
05927,PICADOR LEGUMES,73
05929,CORTADOR MANUAL DE FRIOS,73
06075,DESCASCADOR OVO,73
06262,DISCO FATIADOR DE MAQUINA DE CORTAR FRIOS,73
06350,DISTRIBUIDOR CHAMA DE FOGÃO,73
06354,DISTRIBUIDOR REFRIGERANTE,73
06355,DISTRIBUIDOR SORVETE,73
06392,DOSADOR INOX - GARRAFA,73
06654,EQUIPAMENTO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,73
06679,EQUIPAMENTO DE COZINHA DE AERONAVE,73
06680,EQUIPAMENTO DE COZINHA DE VEICULO FERROVIARIO,73
06681,EQUIPAMENTO DE COZINHA DOMESTICA,73
06784,EQUIPAMENTO ESPECIALIZADO DE COZINHA DE AERONAVE,73
06992,ESPÁTULA DE FRITURA,73
07160,ESPÁTULA,73
07210,ESTUFA A GAS PARA COZINHA,73
07213,ESTUFA ELÉTRICA PARA COZINHA,73
07276,FACA,73
07296,FARINHEIRA,73
07475,FILTRO DE PAPEL PARA OLEO ALIMENTICIO,73
07678,FOGAO ELETRICO TIPO DOMESTICO,73
07679,FOGAREIRO ELÉTRICO,73
07729,FORMA PARA EMPADA,73
07754,FORNO A GAS PARA COZINHA,73
07760,FORNO DE CAMPANHA,73
07763,FORNO ELETRICO PORTATIL,73
07766,FORNO PARA ASSAR,73
07843,FRIGIDEIRA,73
07844,FRIGIDEIRA ELÉTRICA,73
07855,FRUTEIRA,73
07876,FURADOR MANUAL DE COCO,73
07905,GALHETEIRO,73
07906,GALHETEIRO DE CERAMICA,73
07907,GALHETEIRO DE PLASTICO,73
07926,GARFO PARA FRITURA,73
08105,FRITADEIRA,73
08462,INVOLUCRO DE ALIMENTO,73
08477,IOGURTEIRA ELÉTRICA,73
08551,JOGO DE TALHERES,73
08554,JOGO DE UTENSÍLIO DE COZINHA,73
08924,LOUCA DE CRISTAL,73
08926,LOUCA EM GERAL,73
09383,MARMITA,73
09384,MARMITA PARA REFEICAO,73
09447,MATERIAL DE COPA E COZINHA,73
09603,MERGULHÃO ELÉTRICO,73
09609,MESA A VAPOR FIXA,73
09610,MESA A VAPOR PORTATIL,73
09617,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR E SERVIR ALIMENTO",73
09618,"MESA COM AQUECIMENTO PORTATIL - COZINHAR, ASSAR E SERVIR ALIMENTO",73
09619,MESA COM RESFRIAMENTO FIXO - SERVIR ALIMENTO,73
09620,MESA COM RESFRIAMENTO PORTATIL - SERVIR ALIMENTO,73
09843,MOEDOR DE ALIMENTO - PEÇA / COMPONENTE,73
09844,MOEDOR DE CARNE INDUSTRIAL,73
09873,MOLHEIRA DE CERAMICA,73
10268,PÁ CULINÁRIA,73
10270,PA - COZINHA,73
10334,PANELA,73
10335,PANELA DE CERAMICA,73
10336,PANELA DE METAL,73
10337,PANELA DE PRATA ( RECHAUD ),73
10338,PANELA DE VIDRO,73
10595,PEGADOR ALIMENTO,73
10617,PENEIRA COZINHA,73
10762,PIRES DE XICARA,73
11036,PORTA-COPO,73
11067,PORTA COADOR CAFE,73
11115,POTE DE CONDIMENTO,73
11365,QUEBRA - GELO,73
11367,QUEBRA - NOZES,73
11401,RALADOR ALIMENTO,73
11481,RECIPIENTE DE ALUMINIO - MANTIMENTO / ALIMENTO,73
11482,MORINGA,73
11492,RECIPIENTE ALIMENTOS,73
11519,REFIL BANDEJA TÉRMICA,73
11520,REFIL - SOPEIRA TERMICA,73
11535,REFRESQUEIRA,73
11826,ROLO MASSA,73
11880,SACA - ROLHA,73
11881,SACA - ROLHA A GAS,73
11916,SALADEIRA,73
11918,SALEIRO,73
12390,SUPORTE DE GARRAFAO DE AGUA,73
12410,SUPORTE PARA COPO,73
12427,SUPORTE XÍCARA DESCARTÁVEL,73
12461,PRANCHA ALIMENTOS,73
12468,TAÇA,73
12474,TACHO,73
12475,TACHO DE CERAMICA,73
12499,TALHER DE COZINHA,73
12500,TALHER DE MESA,73
12501,TALHER DESCARTÁVEL,73
12722,TIGELA,73
12793,TOALHA PAPEL MESA,73
12836,TORRADEIRA DE PÃO,73
12837,TORRADOR,73
13206,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,73
13488,XÍCARA DESCARTÁVEL,73
13532,ARTIGO DE CRISTAL PARA MESA,73
13533,ARTIGO DE PORCELANA PARA MESA,73
13534,ARTIGO DE VIDRO PARA MESA,73
13562,ESPREMEDOR LEGUME,73
13581,LIQUIDIFICADOR,73
13586,CILINDRO ELÉTRICO,73
13792,FOGÃO SEMI-INDUSTRIAL,73
14036,ESPÁTULA,73
14109,DESCASCADOR INDUSTRIAL,73
14291,GRELHA,73
14460,ESCORREDOR,73
14491,DESCASCADOR BATATA,73
14921,COLHER DESCARTÁVEL,73
15023,FOGÃO PASTELEIRO,73
15328,BANHO MARIA,73
15341,MESA DECANTAÇÃO,73
15350,BATEDOR MILK SHAKE,73
15550,ESCORREDOR LOUÇA,73
15564,MÁQUINA CAFÉ,73
15593,FILTRO DESCARTÁVEL CAFÉ,73
15754,PORTA-CANUDO,73
15786,TAMPA CALDEIRÃO,73
15858,SUPORTE FILTRO CAFÉ,73
15930,CAIXA TALHERES,73
15960,COMPONENTE CORTADOR LEGUMES,73
16036,CONJUNTO DE POTES,73
16080,CORTADOR,73
16152,TAMPA COPO,73
16378,PENEIRA FRITURA,73
16379,TABULEIRO COZINHA,73
16422,EQUIPAMENTO MULTIUSO COZINHA,73
16429,PANELA CUSCUZ,73
16480,CONJUNTO SALADEIRA,73
16507,CANECO DE METAL,73
16654,MODELADOR HAMBURGUER,73
16655,TRITURADOR,73
17209,"EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS",73
17210,MISTURADEIRA ALIMENTOS,73
17211,"PORTA SABÃO, DETERGENTE E ESPONJA",73
17212,CUTELARIA E TALHERES,73
17213,LOUÇA E ARTIGOS DE MESA,73
17214,"JOGOS, CONJUNTOS E EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS",73
17611,DESCASCADOR LARANJA,73
17617,PORTA-PATÊ,73
17704,FOGÃO ELÉTRICO,73
17712,CUTELO,73
17776,CHAVE PARA AMACIADORA CARNE,73
17793,GARFO PARA ASSADO,73
17809,APARELHO COZIMENTO FIAMBRE,73
17826,SAMOVAR,73
17922,CORTADOR PIZZA,73
18049,CAIXA DECANTAÇÃO,73
18163,PORTA ADOÇANTE,73
18599,FORMA PAPEL,73
