"id","pdm"
10905,PLATAFORMAS DE MANUTENCAO E ESCADAS DE AERONAVES
11150,PRE-AQUECEDORES DE MOTOR DE AERONAVES
11410,RAMPAS DE EMBARQUE E DESEMBARQUE DE PASSAGEIROS DE AERONAVES
11455,REBOQUE CARRINHOS DE AEROPORTOS
12941,TRATORES PARA AEROPORTOS
16753,EQUIPAMENTOS PARA SERVICOS DE AERODROMOS
16754,EQUIPAMENTOS PARA POUSO DE AERONAVES
16755,EQUIPAMENTOS PARA LANCAMENTO DE AERONAVES
16756,EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES
16757,REBOQUES E TRATORES ESPECIALIZADOS PARA AEROPORTOS
16758,"EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA DE AERONAVESDIVERSOS"
