id,pdm
01380,PORTA-PESO CONE
01476,DETECTOR METAIS
01477,FITA SINALIZAÇÃO
01492,CONE SINALIZAÇÃO
01493,POSTE FIXAÇÃO PLACA
01494,CIGARRA
01495,SENSOR MOVIMENTO
01497,CAVALETE SINALIZAÇÃO
01505,PLACA SINALIZADORA
01506,ALARME SONORO CONTRA-INCÊNDIO
01507,SINALIZADOR OBRA
01518,HOLOGRAMA SEGURANÇA
01519,DETECTOR FUMAÇA
01520,DETECTOR TÉRMICO
01531,SENSOR INFRAVERMELHO
01532,PAINEL ALARME
01556,BÓIA AMARRAÇÃO
01557,LANTERNA BALISAMENTO MARÍTIMO
01558,AUTOMATIZADOR PORTÃO
01559,CANCELA AUTOMÁTICA
01560,CAMPAINHA SEM FIO
01561,DETECTOR GÁS
01562,DETECTOR ÓPTICO
01583,AUTOMATIZADOR PORTA SOCIAL
01584,CAMPAINHA ELÉTRICA
01585,DETECTOR CHAMAS
01586,PORTA GIRATÓRIA
01587,PORTAL DETECTOR METAL
01588,RELÓGIO SINALEIRO DIGITAL
01700,ACESSORIO DE SINALEIRA DE FERROVIA
02044,ACIONADOR / JOYSTICK
02219,ALARME DE FUSIVEL QUEIMADO
02220,ALARME DE PRESSAO DE OXIGENIO DE AERONAVE
02221,ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE AERONAVE
02222,ALARME DE TREM DE POUSO
02223,ALARME MANUAL CONTRA GAS
02226,ALARME SONORO CONTRA INTRUSAO PREDIAL
02228,ALARME TIPO SIRENE INTERMITENTE
02429,AMORTECEDOR - ESTACIONAMENTO
02627,ANUNCIADORES DE ALARME
02754,APARELHO DETECTOR DE ARMA / EXPLOSIVO POR RAIO X
02755,APARELHO DETECTOR DE ARMA E EXPLOSIVO POR EMANACAO DE VAPOR - TIPO MALETA
02756,APARELHO DETECTOR DE EXPLOSIVO POR EMANACAO DE GAS
03162,AVISO DE ATERRAGEM
03291,BANDEIRA DE SINALIZACAO DE CODIGO INTERNACIONAL
03293,BANDEIRA DE SINALIZACAO METEOROLOGICA
03569,BIRUTA
03658,BOIA DE SINALIZACAO
03659,BÓIA SINALIZAÇÃO LUMINOSA
03972,BUZINA
03975,BUZINA DE VEICULO
03976,BUZINA ELÉTRICA DE VEÍCULO
03977,BUZINA MULTIAPLICAÇÃO
04124,CAIXA COMANDO SINALEIRA
04383,CAMPAINHA ELETRICA INDUSTRIAL
04384,CAMPAINHA MANUAL
04395,CANCELA FERROVIÁRIA
05041,CIRCUITO FECHADO TELEVISÃO
05453,COMPONENTE MECANICO - APARELHO DETECTOR DE METAL TIPO MALETA
05455,COMPONENTE MECANICO
05456,COMPONENTE MECANICO - APARELHO DETECTOR DE EXPLOSIVO POR EMANACAO DE GAS
05458,COMPONENTE MECANICO DE APARELHO DETECTOR DE ARMA / EXPLOSIVO POR RAIO X
05697,CONJUNTO ALARME CONTRA INTRUSÃO
05816,CONTROLADOR ELETRONICO DE TRAFEGO ( ONDA VERDE )
05820,CONTROLE DE ALARME DE AERONAVE
05880,CORNETA PNEUMATICA PARA NEVOEIRO
06054,DELIMITADOR TRÁFEGO
06126,DETECTOR DE DESCARRILHAMENTO
06127,DETECTOR GÁS COMBUSTÍVEL
06131,DETECTOR MEDIDOR OXIGÊNIO
06133,DETECTOR ESPECTROSCOPIA
06299,DISPOSITIVO ACIONAMENTO ALARME
06655,CONJUNTO CONTROLE ACESSO ÁREA RESTRITA
06658,SISTEMA ALARME GÁS
06659,EQUIPAMENTO DE ALARME SONORO CONTRA INCENDIO
06778,EQUIPAMENTO ELETRONICO DE COLETA DE PONTO ( FREQUENCIA )
06781,EQUIPAMENTO ELETRÔNICO INTEGRADO DE SEGURANÇA
07010,ESPELHO DE SINALIZACAO DE SEGURANCA
07114,ESTEIRA PREGO
07225,ETIQUETA PROTETORA ELETROMAGNÉTICA
07307,FAROL DE EMBARCACAO
07326,FECHADURA ELÉTRICA
07327,FECHADURA ELETROMAGNÉTICA
07685,FOGUETE DE SINALIZACAO COM ACIONAMENTO MANUAL
08338,INDICADOR DE ANGULO DE LEME DE EMBARCACAO
08345,INDICADOR DE POSICAO DE MASTRO DE EMBARCACAO
08714,LANTERNA SINALIZACAO - TRAFEGO AEREO
08761,LEITORA DE CARTÃO PARA VIA DE ACESSO
09879,MONITOR SISTEMA SEGURANÇA
10288,PAINEL DE ALARME DE EMBARCACAO
10540,PECA MECANICA APARELHO DETECTOR METAL - MANUAL
10559,PEÇA/ACESSÓRIO - PORTÃO AUTOMÁTICO
10777,PISCA - PISCA DE SINALIZACAO DE TRANSITO
10794,PISTOLA DE SINALIZACAO
11099,PORTEIRO ELETRÔNICO
11436,REATOR DE SINALIZADOR DE ESTRADA
11528,REFLETOR SINALIZADOR DE ESTRADA
11545,REGISTRADOR AUTOMATICO DE TRAFEGO DE VEICULO
12014,SENSOR SISTEMA SEGURANÇA
12015,PANORIZADOR
12076,SINALEIRA DE BLOQUEIO
12077,COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE
12078,MICROESFERA DE VIDRO PARA REFLETORIZAÇÃO
12079,SINALEIRA FERROVIARIA
12081,FAIXA REFLETIVA VEÍCULO
12084,SINALIZADOR PIROTÉCNICO
12091,SINO PARA ALARME / SINALIZACAO
12097,SIRENE DE NEVOEIRO
12098,SIRENE MULTIAPLICAÇÃO
12105,SISTEMA CONTROLE ACESSO
12106,SISTEMA DE ALARME DE ALTITUDE DE AERONAVE
12121,SISTEMA ILUMINAÇÃO
12149,SISTEMA INTEGRADO DE SEGURANCA INDUSTRIAL
12157,SISTEMA PARA ELETRIFICACAO DE CARGA
12162,SISTEMA RONDA ELETRONICA
12163,SISTEMA SUPERVISÃO PREDIAL E SEGURANÇA PATRIMONIAL
12649,CARTÃO CONTROLE ACESSO
12728,TIMPANO DE MESA
13553,SISTEMA SONORIZAÇÃO
13555,EQUIPAMENTO DE DETECCAO DE GAS
13690,CONTROLADOR PASSAGEM NÍVEL
13691,CONTROLADOR SEMAFÓRICO
13697,RADAR MÓVEL
14053,FITA RETROREFLETIVA
15233,SINALIZADOR AUTOMOTIVO
15343,LENTE CIRCUITO FECHADO TELEVISÃO
15372,GRAVADOR LEITOR DE TARJA MAGNÉTICA EM CARTÕES
15386,LEITORA CAÇA-CRACHÁ
15456,DISCO RELÓGIO VIGIA
15567,MESA CONTROLADORA DE CÂMERA
15662,SINALIZADOR SEGURANÇA
16121,SISTEMA CIRCUITO FECHADO TV
16122,REDE CONTROLE ACESSO
16123,LEITORA CARTÃO PROXIMIDADE
16124,CARTÃO PROXIMIDADE VEÍCULO ATIVO
16169,GERENCIADOR IMAGEM
16193,DETECTOR VEÍCULO
16205,BUCHA FIXAÇÃO ACESSÓRIO
16388,CENTRAL MONITORAMENTO
16532,RECEPTOR PARA CÂMERA VIGILANCIA
16579,ACESSÓRIO SINALIZADOR AUTOMOTIVO
17116,SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO
17117,SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES
17118,SISTEMAS DE SINALIZAÇÃO E ALARME PARA FERROVIAS
17119,SISTEMAS DE SINALIZAÇÃO E ALARME PARA AERONAVES
17120,DETECTOR ELETROMAGNÉTICO
17395,SINALIZADOR TRÂNSITO
17499,MARTELO - QUEBRA VIDRO
17740,IDENTIFICADOR BIOMÉTRICO DIGITAL
17745,SISTEMA DE IDENTIFICAÇÃO DE IMPRESSÕES DIGITAIS
17819,ACESSÓRIO SIRENE
18261,SISTEMA SEGURANÇA
18262,CONTROLADOR DE CÂMERA
18263,DETECTOR ELETRONICO
18318,FECHADURA BIOMETRICA
18319,FECHADURA DIGITAL
