"id","pdm","grupo"
02294,ALGODAO EM ESTADO BRUTO,94
02295,ALGODAO EM FARDO,94
03261,BÁLSAMO - DE - TOLÚ,94
03263,BÁLSAMO-DO-PERU,94
03264,BÁLSAMO - TRANQÜILO,94
03640,BOBINA DE POLIETILENO,94
03813,BORRACHA IN NATURA,94
03814,BORRACHA IN NATURA - BENEFICIADA,94
04497,CÁPSULA GELATINOSA,94
04707,CAULE DE FUMO,94
05965,CRINA DE CAVALO,94
07413,FIBRA SINTÉTICA,94
07414,FIBRA TEXTIL LUSTROSA,94
07415,FIBRA VEGETAL / PIACAVA,94
08584,LÃ ANIMAL,94
08733,LATEX DE BORRACHA,94
09009,MADEIRA - TORA,94
09379,MARFIM,94
09435,MATERIA PRIMA VEGETAL PARA FABRICAR PERFUME,94
10608,PENA,94
10609,PENA BENEFICIADA,94
10635,PENUGEM EM ESTADO NATURAL,94
10893,PLÁSTICO,94
10946,POLEN,94
11975,SEDA ARTIFICIAL ( RAYON ),94
11976,SEDA DE ORIGEM ANIMAL,94
12298,SUCATA NAO METALICA EXCETO TEXTIL,94
12452,TABACO NAO MANUFATURADO,94
13805,POLVAROMA,94
16494,POLIDIETANOLAMIDA,94
17321,MATÉRIAS-PRIMAS DE ORIGEM VEGETAL,94
17322,"FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS",94
17323,"MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS",94
17324,"MATÉRIAS-PRIMAS DIVERSAS, FLORESTAIS E AGRÍCOLAS",94
17325,"RESÍDUOS NAO METÁLICOS, EXCETO OS TÊXTEIS",94
18907,TURFA,94
19118,PÓ DE BORRACHA,94
