id,pdm,grupo
00597,CHAVE SOQUETE,51
00598,CHAVE SOQUETE - POLEGADA,51
00599,COLHER PEDREIRO,51
00600,BAÚ FERRAMENTAS,51
00601,MALETA FERRAMENTAS,51
00627,SERROTE CARPINTEIRO,51
00628,TALHADEIRA,51
00629,CHAVE ESTRELA - MILIMETRADA,51
00630,CHAVE ESTRELA - POLEGADA,51
00690,ALICATE BICO MEIA CANA,51
00691,ALICATE BICO MEIA CANA RETO COM CORTE,51
00692,ALICATE BICO MEIA CANA RETO SEM CORTE,51
00693,ALICATE DESCASCAR FIO,51
00694,ALICATE VAZADOR DE COURO DE TAMBOR,51
00695,ARCO SERRA,51
00696,FACÃO,51
00697,BOLSA FERRAMENTA,51
00702,ALICATE UNIVERSAL,51
00817,CAVADEIRA GOIVA,51
00818,FOICE,51
00819,SERROTE COSTA,51
00820,SERROTE PONTA,51
00821,SERROTE PROFISSIONAL,51
01037,FURADEIRA ELÉTRICA EMPUNHÁVEL,51
01050,MACACO HIDRÁULICO,51
01051,MACACO HIDRO-PNEUMÁTICO,51
01052,MARTELO BORRACHA,51
01053,TORNO BANCADA,51
01054,LIXADEIRA,51
01098,CANIVETE,51
01116,MACHADINHA,51
01126,FACA CAÇA,51
01127,FACA PESCA,51
01236,ABRIDOR RELÓGIO,51
01269,SOQUETE COM ENCAIXE PARA FERRAMENTA,51
01353,PLAINA,51
01569,ESPÁTULA,51
01718,ACESSORIO PARA MAQUINA OPERATRIZ,51
02086,ADAPTADOR DE FERRAMENTA MANUAL,51
02217,ALARGADOR PARA FERRAMENTA MANUAL,51
02234,ALAVANCA,51
02305,ALICATE BICO,51
02306,ALICATE COMPRESSÃO HIDRÁULICO,51
02307,ALICATE COMPRESSÃO MECÂNICO,51
02308,ALICATE DE CORTE,51
02309,DECAPADOR,51
02311,ALICATE DE PRESSÃO,51
02312,ALICATE EMPALMADOR DE TERMINAL,51
02313,ALICATE PARA CLIMPAR,51
02314,ALICATE PARA COMPRESSAO DO LACRE CHUMBO,51
02318,ALICATE REBITADOR PEÇAS / ACESSÓRIOS,51
02320,ALICATE TRAVADOR,51
02893,APERTADEIRA LEVE PARAFUSO PNEUMATICA,51
02894,APERTADEIRA MANUAL CATRACA,51
02895,APERTADEIRA MANUAL MULTIPLA ELETRONICA,51
02896,APERTADEIRA MANUAL MULTIPLA PNEUMATICA,51
02975,ARCO DE FURADEIRA,51
02977,ARCO DE PUA,51
03011,ARMÁRIO GUARDAR FERRAMENTA,51
03485,BAU FERRAMENTAS,51
03526,BICO DE ALICATE REBITADOR,51
03553,BIGORNA,51
03793,BOMBA PNEUMÁTICA,51
03878,BROCA ACO CARBONO,51
03879,BROCA,51
03883,BROCA CHATA,51
03884,BROCA CHATA ACO CARBONO,51
03894,BROCA EXPANSIVA,51
03896,BROCA FORSTNER,51
03897,BROCA HELICOIDAL,51
03899,BROCA PARA CONCRETO,51
03900,BROCA PARA FERRO E ACO,51
03901,BROCA PARA MADEIRA,51
03903,BROCA PARA PAREDE,51
03906,BROCA RETA,51
03907,BROCA VASADA PERFURAÇÃO PAPEL,51
03908,BROCA WÍDIA,51
04026,CABO FERRAMENTA,51
04067,CACAROLA DE AQUECIMENTO DE COLA,51
04424,CANIVETE ELETRICISTA,51
04710,CAVADEIRA DUPLA,51
04711,CAVADEIRA TIPO ALAVANCA,51
04811,CHANFRADEIRA,51
04870,CHAVE CANHÃO TUBULAR,51
04871,EMPUNHADEIRA,51
04872,CHAVE CATRACA,51
04873,CHAVE COMBINADA,51
04875,CHAVE AFERIÇÃO,51
04876,CHAVE FIXA,51
04879,CHAVE DE CORRENTE,51
04880,CHAVE REGULAGEM SUSPENSÃO,51
04881,CHAVE FENDA,51
04883,CHAVE DE FENDA TIPO RELOJOEIRO,51
04885,CHAVE BIELA,51
04887,CHAVE DE MANDRIL,51
04890,CHAVE ALLEN,51
04891,CHAVE PARAFUSO FENDA PHILLIPS,51
04895,CHAVE REGULAGEM COM BALANCIM,51
04896,CHAVE DE RODA,51
04906,CHAVE ENGATE RÁPIDO,51
04907,CHAVE ESTRELA,51
04908,CHAVE LAVATÓRIO,51
04915,CHAVE INGLESA,51
04920,CHAVE PARA CONEXAO RANHADURA,51
04921,CHAVE DOBRAR FERRO,51
04922,CHAVE HIDRANTE,51
04923,CHAVE PARA TUBO,51
04939,FERRAMENTA,51
04941,CHAVE TIPO CRUZETA,51
04942,CHAVE COM CORTE,51
04943,CHAVE TORX,51
04951,CHIBANCA,51
05037,CINZEL,51
05566,CONE PARA USO EXCLUSIVO EM FERRAMENTA MANUAL MOTORIZADA,51
05658,CONJUNTO ( KIT ) FERRAMENTA,51
05715,CONJUNTO DE FERRAMENTA MANUAL COM CORTE PARA BOM-BEIRO HIDRAULICO,51
05716,CONJUNTO DE FERRAMENTA MANUAL COM CORTE PARA CAR-PINTEIRO,51
05717,CONJUNTO FERRAMENTAS,51
05718,CONJUNTO DE FERRAMENTA MANUAL COM CORTE PARA MECANICO,51
05719,CONJUNTO DE FERRAMENTA MANUAL COM CORTE PARA MARCENEIRO,51
05720,CONJUNTO DE FERRAMENTA MANUAL COM CORTE PARA VIDRACEIRO,51
05721,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA BOM-BEIRO HIDRAULICO,51
05722,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA CAR-PINTEIRO,51
05723,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA ELE-TRICISTA,51
05724,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA MAR-CENEIRO,51
05725,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA MECANICO,51
05726,CONJUNTO DE FERRAMENTA MANUAL SEM CORTE PARA VIDRACEIRO,51
05741,CONJUNTO TARRAXA,51
05747,CONJUNTO FERRAMENTA MANUAL CHAVE L,51
05914,CORTA - FIO,51
05915,CORTA-VERGALHÃO,51
05923,CORTADOR DE VIDRO,51
05924,CORTADOR MANUAL / ELÉTRICO,51
05925,CORTADOR ELETRICO DE TUBO,51
05930,CORTADOR MANUAL TUBO,51
05939,COSSINETE,51
06071,DESANDADOR PARA MACHO,51
06079,DESCOURADEIRA PNEUMATICA,51
06083,DESEMPENADEIRA PARA ARGAMASSA,51
06084,DESEMPENADEIRA MANUAL,51
06086,DESENCRUSTADOR PNEUMÁTICO MANUAL,51
06088,DESENGROSSADEIRA DE MADEIRA,51
06089,DESENROLADOR FIO,51
06261,DISCO FACA,51
06269,DISCO PARA USO EXCLUSIVO EM FERRAMENTA MANUAL MOTORIZADA,51
06372,DOBRADOR CANO / TUBO,51
06590,ENVERGADOR DE TUBO HIDRAULICO,51
06595,ENXADA,51
06596,ENXADA DE CONSTRUCAO,51
06608,ENXO,51
06825,EQUIPAMENTO PARA FURO OVOIDE,51
06913,ESCARIADOR,51
06949,ESCOVA METÁLICA,51
06971,ESMERILHADEIRA ELETRICA,51
06975,ESMERILHADEIRA MANUAL MOTORIZADA TIPO EMPUNHAVEL,51
06976,ESMERILHADEIRA PNEUMÁTICA MANUAL,51
07159,ESTOJO DE TARRACHA,51
07163,ESTOJO PARA GUARDA DE FERRAMENTA,51
07246,EXTENSAO DE CHAVE SOQUETE,51
