"id","pdm"
13232,VAGAO PARA PASSAGEIROS
13233,VAGAO POSTAL
13340,VEICULO AUTOPROPULSOR PARA VIA FERREA - DETECCAO
13341,VEICULO AUTOPROPULSOR PARA VIA FERREA - SUBSTITUIR
13342,VEICULO AUTOPROPULSOR REPERFILADOR / RETIFICADOR
13345,VEICULO DE MANUTENCAO PARA LEVANTAR / NIVELAR / AL
13346,VEICULO DESGUARNECEDOR DE LASTRO PARA LIMPEZA / RE
13353,VEICULO PARA REGULAR E DISTRIBUIR LASTRO - VIA FER
16264,VAGÃO ABERTO
16265,AGULHA LEITO RODOVIA
16786,LOCOMOTIVAS
16787,VAGÕES FERROVIÁRIOS
16788,EQUIPAMENTO DE CONSTRUCAO E MANUTENCAO DE LEITO DE FERROVIA ROVIAS
16789,ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS
16790,MATERIAIS DE FERROVIA
