"id","pdm"
01663,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO
01691,ACESSORIO DE PISTOLA DE PRESSAO PARA LUBRIFICACAO
02094,ADAPTADOR HIDRAULICO DE BOMBA DE LUBRIFICACAO
02111,ADITAMENTO DE PISTOLA DE LUBRIFICACAO
02325,ALIMENTADOR DE MUNICAO
02333,ALINHADOR DE CHASSIS
02335,ALINHADOR FAROL - VEÍCULO AUTOMOTIVO
02336,ALINHADOR RODA - VEICULO AUTOMOTIVO
02356,SUPORTE DESEMPENO
02357,ALMOTOLIA MANUAL
02476,ANALISADOR DE VIBRACAO DE AERONAVE
02477,ANALISADOR DE BATERIA
02703,APARELHO DE ENSAIO DE VELA DE IGNICAO
02704,APARELHO DE ENSAIO DE VELOCIMETRO
02718,APARELHO LIMPEZA E TESTE DE VELA MOTOR A COMBUSTÃO
02901,DESOXIDANTE
03231,BALANCEADORA DE RODAS
03277,BANCO DE MANUTENCAO PROJETADO PARA RECEBER CONJUN-TO E COMPONENTE DE AERONAVE
03278,BANCO DE PROVA DE MOTOR DE AERONAVE
03284,BANCO PLACAS ENSAIO VEÍCULO AUTOMOTIVO
03527,BICO LUBRIFICAÇÃO
03738,BOMBA DE ABASTECIMENTO DE COMBUSTIVEL - AERONAVE
03739,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI
03740,BOMBA DE ABASTECIMENTO DE COMBUSTIVEL PARA AERONAVE
03741,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO
03753,BOMBA DISTRIBUIÇÃO COMBUSTÍVEL
03783,BOMBA LAVAGEM VEÍCULO PEÇAS / COMPONENTES
03784,BOMBA MANUAL ROTATIVA
03786,BOMBA MANUAL DE BOMBEAMENTO DE LIQUIDO ADAPTAVEL A TAMBOR
03791,BOMBA PARA ENGRAXAR
03998,CABINE PINTURA
04261,CALIBRADOR
04713,CAVALETE ENSAIO OFICINA
05426,COMPONENTE DO SISTEMA DE ABASTECIMENTO EM VOO
05451,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO
05463,COMPONENTE BOMBA ABASTECIMENTO
05770,CONJUNTO LUBRIFICAÇÃO CENTRALIZADA
06082,DESEMPENADEIRA
06351,PROPULSORA PNEUMÁTICA
06477,ELEVADOR ELÉTRICO DE VEÍCULO
06479,ELEVADOR HIDRÁULICO VEÍCULO
06573,ENGRAXADEIRA PORTÁTIL
06688,ESTICADOR
06724,PEÇAS E COMPONENTES PISTOLA PINTURA
06780,EQUIPAMENTO ELETRONICO DE REGULAGEM DE MOTOR DE VEICULO
06791,EQUIPAMENTO HIDRAULICO PARA OFICINA
06831,EQUIPAMENTO PARA MANUTENCAO E REPARO DE PNEU
06832,EQUIPAMENTO PARA MONTAGEM DE CHICOTE ELETRICO
06837,EQUIPAMENTO PARA REPARO DE SISTEMA DE FREIO
06858,EQUIPAMENTO VERIFICACAO FOLGAS DA SUSPENSAO / DIRE
07461,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO
07478,FILTRO DESIDRATADOR - ABASTECIMENTO COMBUSTIVEL
08101,GRAXEIRA / PEÇA / COMPONENTE
08221,HIDROCOMPRESSOR
08864,LINHA COMPUTADORIZADA - INSPECAO VEICULAR
08932,LUBRIFICADOR HIDROSTATICO
08933,LUBRIFICADOR
08994,MACACO PORTÁTIL - VEÍCULO AUTOMOTIVO
09152,MAQUINA BALANCEAR EIXO MANIVELA (VIRABREQUIM)
09192,MAQUINA DE ESMERILHAR EIXO DE MANIVELA
09193,MAQUINA DE ESMERILHAR EQUIPAMENTO DE VEICULO MOTORIZADO
09203,ALINHADOR EIXO
09204,MÁQUINA DE LAVAR AUTOMÓVEL / PEÇAS E ACESSÓRIOS
09205,MÁQUINA LAVADORA
09220,MAQUINA DE RETIFICAR EQUIPAMENTO DE VEICULO MOTORIZADO
