"id","pdm","grupo"
01218,PEÇAS E ACESSÓRIOS INSTRUMENTO MUSICAL,77
02088,ADAPTADOR DE PRATO DE INSTRUMENTO DE PERCUSSAO,77
02145,AFINADOR DE INSTRUMENTO MUSICAL,77
02864,APARELHO RAIO LASER PARA REPRODUÇÃO DISCO SONORO,77
02874,APARELHO SOM,77
02892,APARELHO VIDEO / SONORO CONJUGADO TIPO DOMESTICO,77
03484,BATUTA DE REGENTE,77
03798,BOMBO,77
03802,BOQUILHA DE INSTRUMENTO MUSICAL,77
04136,CAIXA DE INSTRUMENTO MUSICAL,77
04445,CAPA INSTRUMENTO MUSICAL,77
05695,"CONJUNTO COMBINADO FONÓGRAFO, RÁDIO E TELEVISOR",77
05746,CONJUNTO ESTEREOFÔNICO,77
06162,DIAPASÃO,77
06263,DISCO FONOGRAFICO,77
06265,MINI CD,77
06266,DISCO LASER CDR,77
06550,ENCORDOAMENTO DE INSTRUMENTO MUSICAL,77
07095,ESTANTE - PARTITURA,77
07162,ESTOJO PARA FITA DE VIDEO CASSETE,77
07575,FITA VIDEOCASSETE,77
07579,FITA FONOGRAFICA,77
07603,FITA GRAVAÇÃO,77
07705,FONOGRAFO,77
08410,INSTRUMENTO MUSICAL,77
08411,INSTRUMENTO MUSICAL - CORDA,77
08412,INSTRUMENTO MUSICAL - FOLE,77
08413,INSTRUMENTO MUSICAL - GONGO,77
08414,INSTRUMENTO MUSICAL - PERCURSÃO,77
08415,INSTRUMENTO MUSICAL - SOM AMPLIFICADO POR MEIOS ELETRICOS,77
08416,INSTRUMENTO MUSICAL - SOPRO,77
08417,INSTRUMENTO MUSICAL - TECLADO COM PALHETAS METALICAS LIVRES,77
10320,PALHETA DE INSTRUMENTO MUSICAL,77
10535,PEÇA DE INSTRUMENTO MUSICAL,77
10576,PEDAL DE INSTRUMENTO MUSICAL,77
10698,PIANO,77
11393,RÁDIO - RELÓGIO,77
11396,RÁDIO RECEPTOR,77
11397,RADIO RECEPTOR TIPO DOMESTICO,77
12393,SUPORTE DE PARTITURA DE MUSICA,77
12415,SUPORTE PARA PARTITURAS MUSICAIS,77
12609,TELEVISOR,77
12796,TOCA - DISCO,77
13423,VIDEOCASSETE,77
13830,DISCO LASER CDRW,77
14139,RÁDIO GRAVADOR AM/FM,77
14529,MICRO VIDEOCASSETE,77
15157,ESTOJO PARA DVD,77
15303,APARELHO DVD,77
15360,VIOLA,77
15534,FITA TAPE PROFISSIONAL,77
15653,ROTEADOR RÁDIO,77
16191,HOME THEATER,77
16195,ESTEIRA CAIXA CLARA,77
16248,CABO APARELHO ELETRÔNICO,77
16479,MINI DISCO,77
17239,INSTRUMENTOS MUSICAIS,77
17240,PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS,77
17241,"FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO",77
17242,DISCO LASER,77
17561,APARELHO VÍDEOCASSETE E DVD,77
17623,PELE INSTRUMENTO MUSICAL,77
17624,CAIXA CLARA,77
17631,TAROL,77
18051,APARELHO DVD PARA AUTOMÓVEL,77
