id,pdm
00870,MICRÔMETRO PROFUNDIDADE
00878,MICRÔMETRO EXTERNO
00882,MICRÔMETRO INTERNO
00913,COMPASSO CALIBRE DIGITAL
00914,DURÔMETRO
00918,ESQUADRO
00919,METRO DOBRÁVEL
00920,NÍVEL BOLHA
00959,CALIBRADOR ROSCA
00960,PENTE MEDIÇÃO ROSCA
00961,TACÓGRAFO
00963,TORQUÍMETRO ESTALO ESCALA (LB.POL)
00965,TORQUÍMETRO ESTALO ESCALA (KG.M).
00966,TORQUÍMETRO ESTALO ESCALA (LB.PÉ)
00967,TORQUÍMETRO RELÓGIO ESCALA DUPLA (NM) E (LB.POL)
00968,TRENA
01016,CALIBRADOR ÂNGULO SAÍDA
01038,MICRÔMETRO DIGITAL
01039,PAQUÍMETRO DIGITAL
02140,AFERIDOR
02143,AFIADOR DE FERRAMENTA DE PRECISAO
02304,ALICATE AMPERÍMETRO
02371,ALTÍMETRO PORTATIL
02764,APARELHO DIGITAL DIAGNÓSTICO
03622,MONTADOR BLOCO PADRÃO
04250,CALIBRADOR ALARGADOR TUBO
04251,CALIBRADOR BORDA TUBO
04252,CALIBRADOR BROCA - HELICOIDAL
04253,CALIBRADOR DE ANGULO DE CORTE DE BROCA HELICOIDAL
04254,CALIBRADOR DOSE
04255,CALIBRADOR ESPESSURA TUBO
04256,CALIBRADOR MACHO - HELICOIDAL
04259,CALIBRADOR PASSO BROCA
04260,CALIBRADOR PLAINA
04262,CALIBRADOR SUPERFÍCIE
04263,CALIBRADOR TELESCÓPICO
04264,CALIBRE DE ALOJAMENTO
04265,CALIBRE DE ALTURA GRAMINHO
04266,CALIBRE DE ANGULO PARA ARTIFICE
04267,CALIBRE DE ARAME
04268,CALIBRE DE CARLOPA
04269,CALIBRE CENTRAGEM FERRAMENTA DE TORNO
04270,CALIBRE DE DENTE DE SERRA
04271,CALIBRE DE ESPESSURA
04272,CALIBRE FIXADOR
04274,CALIBRE DE MEDIDA EXTERNA
04275,CALIBRE MEDIDA INTERNA
04276,CALIBRE DE MOLA
04277,CALIBRE DE ORIFICIO CONICO PARA DIAMETRO DE ARAME
04278,CALIBRE DE PERFIL
04279,CALIBRE DE PLAINA
04280,CALIBRE DE PLAINA MECANICA
04281,CALIBRE DE PONTA DE BROCA
04282,CALIBRE DE PROFUNDIDADE
04283,COMPASSO
04284,CALIBRE DE RAIO
04285,CALIBRE DE ROSCA
04286,MEDIDOR DISTÂNCIA
04287,CALIBRE DE TRAÇÃO
04288,CALIBRE DE VIDRACEIRO
04289,CALIBRE ESPECIAL DE INSPECAO
04290,CALIBRE ANEL
04291,CALIBRE PARA BUJAO
04292,CALIBRE PARA CURVA EXTERNA
04293,CALIBRE PARA CURVA INTERNA
04294,CALIBRE PARA DIAMETRO DE BROCA HELICOIDAL
04296,CALIBRE SELEÇÃO REBITE
04297,CALIBRE VERIFICAR RAIO
04298,CALIBRE PARA VERIFICAR ROSCA
04299,PAQUÍMETRO ESPECIAL
04761,CENTRIMITER
06896,ESCALA DE ACO DE ARTIFICE
06900,ESCALA DE PROFUNDIDADE
06901,ESCALA ENCOSTO INTERNO
06902,ESCALA METROLÓGICA
07341,PEÇAS / ACESSÓRIOS MICRÔMETRO
07508,FIO DE PRUMO
07561,FITA DE ACO PARA MEDICAO
07601,FITA METRICA DE ARTIFICE
07893,GABARITO DE SUBMONTAGEM
08035,GONIOMETRO
09007,MEDIDOR SULCO PNEU
09552,MEDIDOR DE REBORDO DE TUBO
09563,MEDIDOR DE ESPESSURA
09746,MICROPICNOMETRO
09780,MIRA DE INSPECAO E MEDICAO
10116,NIVELADOR PARA MEDICAO E INSPECAO
10219,OPACÍMETRO
10631,PENTE MEDICAO ROSCA
10992,PONTA PROVA OSCILOSCÓPIO
11258,PROJETOR OPTICO DE PERFIL DE MEDICAO E INSPECAO
11328,PRUMO
11579,RÉGUA MEDIÇÃO TANQUE COMBUSTÍVEL
11621,RELÓGIO COMPARADOR
11857,RUGOSIMETRO
12115,SISTEMA DE CONTROLE DE TORQUE
12453,TABELA DE CALIBRE COMBINADO DE BROCA HELICOIDAL
12455,TABELA E CALIBRE COMBINADO PARA MACHO
12834,TORQUIMETRO ESCALA DUPLA
12835,TORQUÍMETRO DIGITAL
12876,TRANSFERIDOR COMBINADO
12877,TRANSFERIDOR UNIVERSAL DE PRESSAO
13304,PONTA PROVA MULTÍMETRO
13651,MEDIDOR ESPESSURA
13667,DECIBELÍMETRO
14143,BORRACHA MICRÔMETRO
14545,GUIA LINEAR
14701,PAQUÍMETRO UNIVERSAL
14964,ALICATE WATTIMETRO
16203,TRENA ELETRÔNICA
16333,LUPA MEDIÇÃO
16988,NÍVEL DE PRECISÃO
16989,HASTE PADRÃO CALIBRAÇÃO
16990,JOGOS E CONJUNTOS DE INSTRUMENTOS DE MEDIÇÃO
17451,ESFERA PADRÃO
17516,LINHA PEDREIRO
18735,DISCO TACÓGRAFO
19072,MEDIDOR DE CASCA
