id,pdm
01690,ACESSORIO DE MOTOR PRIMARIO DE MISSIL GUIADO
02081,ADAPTADOR DE COLETOR DE ADMISSAO DE MOTOR A GASOLINA
02090,ADAPTADOR DE TUBO RESPIRADOR DE MOTOR A GASOLINA
02492,ANEL DE DEFLATOR DE TURBINA A VAPOR
02493,ANEL DE FREAMENTO DE TURBINA A VAPOR
02500,ANEL DE SEGMENTO
03459,BATENTE COXIM DIANTEIRO - MOTOR VEÍCULO AUTOMOTIVO
03536,BICO INJETOR MOTOR DE EMBARCAÇÃO
03542,BIELA DE MOTOR A ALCOOL
03543,BIELA MOTOR A DIESEL
03544,BIELA DE MOTOR A GAS
03545,BIELA DE MOTOR A GASOLINA
03546,BIELA MOTOR A VAPOR
03547,BIELA MOTOR DE EMBARCACAO
03600,BLOCO DE CILINDRO DE MOTOR DE EMBARCACAO
03609,BLOCO DE MOTOR A ALCOOL
03610,BLOCO DE MOTOR A DIESEL
03611,BLOCO DE MOTOR A GASOLINA
03951,BUJAO DE ESCOAMENTO DE OLEO DE MOTOR A GASOLINA
03954,BUJÃO ÓLEO ABASTECIMENTO
03986,CABEÇOTE MOTO-COMPRESSOR
03987,CABEÇOTE MOTOR
03988,CABEÇOTE DE MOTOR A GÁS
03989,CABEÇOTE DE MOTOR A GASOLINA
03990,COMPRESSOR CONDICIONADOR AR
04139,CAIXA DIREÇÃO
04372,CAMISA CILINDRO MOTOR DE EMBARCAÇÃO
04374,CAMISA DE MOTOR A COMBUSTAO
04528,CARBURADOR MOTOR EMBARCAÇÃO
04534,CARCAÇA BOMBA ÓLEO DE MOTOR
04535,CARCAÇA MOTOR DE EMBARCAÇÃO
04537,CARCAÇA VENTOINHA SISTEMA RESFRIAMENTO
04664,CARTER DE MOTOR A COMBUSTAO
04665,CARTER DE MOTOR DE EMBARCACAO
04691,CASQUILHO BIELA MOTOR
04692,CASQUILHO ÁRVORE MANIVELA
04696,CATA - VENTO
04837,CHAPA DE PROTECAO DE CILINDRO DE MOTOR A EXPLOSAO
04840,CHAPA DEFLETORA AR CABECOTE
04995,CILINDRO DE MOTOR A COMBUSTAO
