01292,SONDA PERFURAÇÃO
01672,ACESSÓRIO COLUNA PERFURAÇÃO POÇO PETRÓLEO
02214,ALARGADOR POÇO PETRÓLEO
02923,AQUECEDOR DE ASFALTO
02924,AQUECEDOR DE BETUME
03440,BATE - ESTACA
03441,BATE - ESTACA - UTILIZADO TANTO EM GUINDASTE QUAN-TO EM GUINDASTE - ESCAVADEIRA
03592,BLINDAGEM PROTEÇÃO PNEU
03669,BOLA GUINDASTE DESTRUIDOR
03747,BOMBA DE ASFALTO COM ACESSORIO DE DISTRIBUICAO
03748,BOMBA DE BOMBEAMENTO DE CONCRETO
03820,BORRIFICADOR CAMINHÃO IRRIGADOR
03871,BRITADEIRA
03872,BRITADOR
03889,BROCA PERFURAÇÃO POÇO PETRÓLEO EM ROCHA
03890,BROCA PERFURAÇÃO POÇO PETRÓLEO EM TERRENO
03982,CABEÇA POÇO
03983,CABEÇA POÇO PRODUÇÃO PETRÓLEO
04064,CAÇAMBA
04065,CACAMBA DE CAMINHAO
04229,CALDEIRA PRE - AQUECEDORA DE ASFALTO
04359,CAMINHÃO ASPERSOR
04364,CAMINHÃO BASCULANTE
04365,CAMINHAO ESPECIAL DE CONSTRUCAO PARA ARRASTO
04366,CAMINHAO ESPECIAL DE CONSTRUCAO PARA TRANSPORTE DE TERRA
04566,CARREGADEIRA ESPECIAL PARA TRANSPORTE DE TERRA ( FORA DE ESTRADA )
04567,CARREGADEIRA NIVELADORA
04747,CENTRAL DOSAGEM
05371,COLUNA ROTAÇÃO POÇO PETRÓLEO
05386,COMPACTADOR LISO TERRAPLENAGEM
05387,COMPACTADOR PE - DE - CARNEIRO
05830,CONVERSIVEL MONTADO SOBRE ESTEIRA
05831,CONVERSIVEL MONTADO SOBRE RODA
06119,DESTACADORA
06349,DISTRIBUIDOR DE ASFALTO
06391,DOSADOR DE EQUIPAMENTO DE TRANSFERENCIA DE ASFALTO
06469,ELETROIMA DE ICAR
06474,ELEVADOR DE ASFALTO
06624,EQUIPAMENTO / ACESSÓRIO - PERFURAÇÃO SOLO
06626,EQUIPAMENTO / ACESSÓRIO - BRITAGEM
06629,EQUIPAMENTO / ACESSÓRIO - PAVIMENTAÇÃO ASFÁLTICA
06657,EQUIPAMENTO DE ABRIR ESTRADA
06660,EQUIPAMENTO DE AMARRAR CABO
06663,EQUIPAMENTO BOMBEAMENTO PETRÓLEO
06666,EQUIPAMENTO CABEÇA POÇO PETRÓLEO
06670,EQUIPAMENTO COMPACTAÇÃO ASFALTO
06686,EQUIPAMENTO DISTRIBUIÇÃO GÁS
06687,EQUIPAMENTO DE EMENDAR CABO
06706,EQUIPAMENTO DE LANCAR CABO
06707,EQUIPAMENTO DE LIMPAR ESTRADA
06718,EQUIPAMENTO DE PEDREIRA
06719,EQUIPAMENTO PENEIRAÇÃO
06720,EQUIPAMENTO PERFURAÇÃO A PERCUSSÃO - INSERÇÃO
06721,PERFURATRIZ
06722,EQUIPAMENTO DE PERFURACAO ROTATIVA - INSERCAO DE EXPLOSIVO
06731,EQUIPAMENTO DE QUEBRAR PAVIMENTO ASFÁLTICO
06748,EQUIPAMENTO SEGERANÇA CONTRA FLUXO POÇO PETRÓLEO
06755,DEFLECTÔMETRO
06756,EQUIPAMENTO DE SONDA ROTATIVA ( PERFURACAO ROCHA )
06763,EQUIPAMENTO DE TORCER CABO
06765,EQUIPAMENTO DE TRANSFERENCIA DE ASFALTO
06810,EQUIPAMENTO PARA BOBINAR CABO
06813,EQUIPAMENTO PARA CLASSIFICACAO DE MINERAL
06823,EQUIPAMENTO ESCAVAÇÃO DE TERRA
06833,EQUIPAMENTO MOVIMENTAÇÃO DE TERRA
06838,EQUIPAMENTO PARA SEPARACAO DE MINERIO
06914,ESCARIFICADOR
06915,ESCAVADEIRA CONVERSÍVEL MONTADA SOBRE ESTEIRA
06916,ESCAVADEIRA CONVERSIVEL MONTADA SOBRE RODAS
06917,ESCAVADEIRA HIDRÁULICA
06918,ESCAVADEIRA TIPO CONSTRUCAO MANUAL
07390,FERRAMENTA MANUSEIO COLUNA PERFURAÇÃO POÇO PETRÓLE
07728,FORMA PARA CORPO DE PROVA PARA CONCRETO
08129,GUIA DE CABO DE ARRASTO
08139,GUINCHO DE CAMINHÃO REBOQUE
08140,GUINCHO DE TRATOR
08142,GUINCHO PARA MONTAGEM EM REBOQUES
08145,GUINDASTE - PEÇA / ACESSÓRIO
08146,GUINDASTE AUTO - PROPELIDO
08147,GUINDASTE CONVERSIVEL MONTADO SOBRE ESTEIRA
08148,GUINDASTE CONVERSIVEL MONTADO SOBRE RODA
08151,GUINDASTE DE TRATOR
08152,GUINDASTE DE USO EM CONSTRUCAO PREDIAL
08159,GUINDASTE MOVEL NAO CONVERSIVEL
08161,GUINDASTE VEICULAR
08303,IMPLEMENTO PARA MONTAGEM EM CAMINHAO
08402,INSTRUMENTO SONDA PETRÓLEO
08409,INSTRUMENTO ESPECIAL PRODUÇÃO E ESTIMULAÇÃO POÇO P
08622,LÂMINA TRATOR
08680,LANCA DE GUINDASTE
09143,MAQUINA ACABADORA ASFALTICA
09210,MAQUINA DE MARCAR ESTRADA
09392,MARTELO HIDRÁULICO
09395,MARTELO - PILAO DE QUEDA LIVRE
09440,MATERIAL BOMBEIO CAVIDADE PROGRESSIVA (BCP) - PETR
09441,MATERIAL DE BOMBEIO CENTRÍFUGO SUBMERSO (BCS) - PE
09442,MATERIAL BOMBEIO MECÂNICO CONVENCIONAL DE PETRÓLEO
09443,MATERIAL BOMBEIO PNEUMÁTICO (GÁS LIFT) - PETRÓLEO
09446,MATERIAL COMPLETAÇÃO POÇO PETRÓLEO
09449,MATERIAL PERFURAÇÃO UTILIZADA EM CABEÇA DE POÇO
09450,MATERIAL PRODUÇÃO PARA POÇO SUBMARINO
09451,MATERIAL PRODUÇÃO UTILIZADA EM CABEÇA DE POÇO
09457,MATERIAL DE SUPERFÍCIE COMPLETAÇÃO POÇO PETRÓLEO
09459,MATERIAL ESPECIAL PARA UNIDADE PERFURAÇÃO FLUTUANT
09483,MATERIAL PARA DESVIO POÇO PETRÓLEO
09487,MATERIAL OPERAÇÃO COM ARAME E DESPARAFINAÇÃO MECÂN
09489,MATERIAL PERFURAÇÃO PARA CABEÇA POÇO SUBMARINO
09795,MISTURADOR / AMASSADEIRA
09796,BETONEIRA
09949,MOTONIVELADORA
09950,LÂMINA MOTONIVELADORA
10267,CARREGADEIRA
10275,PA - MECANICA
10278,FIXADOR CRUZETA CARDÃ
10514,BETUMADEIRA
10515,PAVIMENTADOR DE CONCRETO
10523,PEÇA / COMPONENTE - COMPACTADOR SOLO E ASFALTO
10644,PERA DE GUINDASTE
11323,PROTETOR PARA DESCONTROLE DO POÇO PETRÓLEO
11368,CORTADOR CONCRETO / ROCHA
11416,MOTO-RASPO-TRANSPORTADOR
11460,REBOQUE ESPECIAL DE CONSTRUCAO - TRANSPORTE DE TERRA
11461,REBOQUE ESPECIAL DE CONSTRUCAO PARA ARRASTO
11462,REBOQUE ESPECIAL DE CONSTRUCAO PARA ROCHA ( TRANSPORTADOR BASCULANTE DO TIPO FORA DE ESTRADA )
11635,REMOVEDOR DE NEVE / GRANIZO EM ESTRADA
11726,RETROESCAVADEIRA
11785,ROLADOR DE CARGA - ESTEIRA
11821,ROLO " PE DE CARNEIRO " / ESCARIFICADOR
11824,ROLO DE VASSOURA
12935,TRATOR MOVIMENTAÇÃO ROCHA
12939,TRATOR MOVIMENTAÇÃO TERRA
13203,USINA DE ASFALTO
13204,USINA DE BRITAGEM
13205,USINA DE SOLO CIMENTO
13239,VALETADEIRA
13313,VARREDEIRA
13328,VASSOURA MECANICA - PEÇAS E ACESSÓRIOS
13420,VIBRADOR CONCRETO
14554,BROCA TRICÔNICA
14629,BITS DE PERFURAÇÃO
16915,EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA
16916,GUINDASTES E ESCAVADEIRAS
16917,ACESSÓRIOS PARA GUINDASTES E ESCAVADEIRAS
16918,PEÇA/COMPONENTE AMOSTRADOR SOLO
16919,EQUIPAMENTO DE DESOBSTRUÇÃO E LIMPEZA DE ESTRADAS
16920,ACESSÓRIOS PARA CAMINHÕES E TRATORES
16921,EQUIPAMENTO PARA PRODUÇÃO E DISTRIBUIÇÃO DE PETRÓLEO
16922,PEÇAS / ACESSÓRIOS BETONEIRA
17431,MOINHO DE BOLAS
17641,PERCURSOR
18335,MASSEIRA PARA ARGAMASSA
18342,BROCA ARRASTE
19092,MISTURADOR
