"id","pdm","grupo"
02047,FERRO CHATO,95
02240,ALÇA METAL FERROSO,95
02956,ARAME,95
02958,ARAME DE ACO INOXIDAVEL,95
02959,ARAME DE ACO PARA FIM MECANICO,95
02960,ARAME DE ACO PARA MOLA,95
02961,ARAME AÇO RECOZIDO,95
02962,ARAME,95
02963,ARAME DE COBRE,95
02964,ARAME DE FRENO,95
02965,ARAME DE GRAMPEAR,95
02966,ARAME DE METAL PRECIOSO,95
02967,ARAME DE NIQUEL,95
02968,ARAME DE ZINCO PARA METALIZACAO,95
02969,ARAME GALVANIZADO,95
02972,ARAME ZINCADO / ALAMBRADO,95
02989,ARGOLA METÁLICA,95
03348,BARRA DE ACO CARBONO PARA CONSTRUCAO MECANICA -ACIMA DE 50M,95
03349,BARRA METAL FERROSO,95
03350,BARRA AÇO,95
03351,BARRA DE ACO COM SECAO OITAVADA,95
03352,BARRA DE ACO COM SECAO QUADRADA,95
03353,BARRA DE ACO COM SECAO REDONDA,95
03354,BARRA DE ACO COM SECAO SEXTAVADA,95
03355,BARRA DE ACO DE SECAO CRUZ,95
03356,BARRA DE ACO DE SECAO MEIA - CANA,95
03357,BARRA DE ACO DE SECAO RETANGULAR,95
03358,BARRA DE ACO MENOR QUE 3 POLEGADAS DE ESPESSURA,95
03359,BARRA CHATA,95
03369,BARRA DE FERRO MENOR QUE 3 POLEGADAS DE ESPESSURA,95
03371,BARRA DE LATAO,95
03372,BARRA DE MATERIAL METALICO NAO FERROSO - SECAO SEXTAVADA,95
03373,BARRA DE METAL FERROSO,95
03374,BARRA METAL NÃO FERROSO,95
03375,BARRA DE METAL NAO FERROSO COM SECAO OITAVADA,95
03376,BARRA METAL NAO FERROSO,95
03377,BARRA DE METAL NAO FERROSO COM SECAO REDONDA,95
03378,BARRA DE METAL NAO FERROSO DE SECAO MEIA - CANA,95
03379,BARRA DE METAL NAO FERROSO DE SECAO RETANGULAR,95
03380,BARRA DE METAL NAO FERROSO SECAO SEMI - CIRCULAR,95
03381,BARRA METAL PRECIOSO,95
03397,BARRAS E PERFIS DE ACO INOXIDAVEL,95
04404,CANECO MEDIDOR / PASSADOR,95
04432,CANTONEIRA METAL FERROSO,95
04435,CANTONEIRA METÁLICA,95
04814,CHAPA DE ACO CORRUGADA,95
04815,CHAPA DE ACO DE REVESTIMENTO DE PISO,95
04816,CHAPA AÇO INOXIDÁVEL,95
04817,CHAPA AÇO,95
04818,CHAPA PERFURADA,95
04819,CHAPA ALUMÍNIO,95
04822,CHAPA BLINDAGEM AÇO,95
04823,CHAPA BLINDAGEM FERRO,95
04828,CHAPA FERRO REVESTIMENTO DE PISO,95
04832,CHAPA METAL NÃO FERROSO,95
04833,CHAPA METAL NÃO FERROSO,95
04834,CHAPA DE LIGA MISTA DE METAIS,95
04835,CHAPA DE METAL NAO FERROSO PARA PISO,95
04842,CHAPA,95
04844,CHAPA GALVANIZADA,95
04845,CHAPA PARA PISO,95
04847,CHAPA PERFURADA,95
04850,CHAPA PRETA DE ACO,95
06042,DECANTADOR,95
07073,ESTACA DE ACO,95
07074,COLUNA METAL FERROSO,95
07118,ESTEIRA TRANSPORTADORA,95
07569,FITA DE METAL PRECIOSO,95
07600,FITA METÁLICA,95
07606,FITA PERFURADA DE METAL NAO FERROSO,95
07695,FOLHA METAL NÃO FERROSO,95
07697,FOLHA METAL,95
08770,LENCOL - CHUMBO,95
08825,LIGA DE ARAME DE COBRE,95
10649,PERFIL ALUMÍNIO,95
10650,PERFIL METAL FERROSO,95
10651,PERFIL ESTRUTURAL DE ACO PARA PLATAFORMA MARITIMA,95
10653,PERFIL METÁLICO NÃO FERROSO,95
10656,PERFILADO AÇO,95
10657,PERFILADO DE FERRO - ESPESSURA ATE 3 POLEGADAS,95
10780,PISO ANTIDERRAPANTE - LAMINADO,95
11129,PRANCHA METAL FERROSO,95
12387,SUPORTE,95
12517,TAMPA METAL,95
12776,TIRA DE METAL PRECIOSO,95
12779,TIRA PERFURADA DE ACO,95
12780,TIRA PERFURADA DE MATERIAL METALICO NAO FERROSO,95
13067,TUBO DE METAL PRECIOSO,95
13305,VARETA DE METAL PRECIOSO,95
13390,VERGALHÃO,95
13391,VERGALHÃO ARMAÇÃO CONCRETO,95
13746,CANTONEIRA METAL NÃO FERROSO,95
14157,BARRA LIGA MISTA METAIS,95
14929,FITA,95
15414,BARRA ALUMÍNIO,95
15809,FOLHA IMITAÇÃO METAL PRECIOSO,95
16222,ALÇA METAL NÃO FERROSO,95
17318,SUPORTE LABORATÓRIO,95
17326,"ARAMES DE FERRO E DE AÇO, NÃO UTILIZÁVEIS EM ELETRICIDADE",95
17327,BARRAS E VERGALHÕES DE FERRO E DE AÇO,95
17328,"PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO",95
17329,PERFIS ESTRUTURAIS DE FERRO E AÇO,95
17330,"ARAMES DE METAL NÃO FERROSO, NÃO UTILIZÁVEIS EM ELETRICIDADE",95
17331,BARRAS E VERGALHÕES DE METAIS NÃO FERROSOS,95
17332,"PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE METAIS NÃO FERRO-SOS",95
17333,PERFIS ESTRUTURAIS DE METAIS NÃO FERROSOS,95
17334,"PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE METAIS PRECIOSOS",95
17390,COLUNA ALUMÍNIO,95
17504,BARRA TITÂNIO,95
17583,CONJUNTO EMBUTIMENTO A FRIO,95
19247,ACESSÓRIO FITA METÁLICA,95
