id,pdm
02137,PEÇAS / ACESSÓRIOS AEROMODELO
03161,AVIÃO
08134,GUIAS DE CABOS PARA AERONAVES
08184,HELICÓPTERO
10522,PEÇA / COMPONENTE - AEROMODELO
10572,PEÇAS ESPECIAIS DE AERONAVES
10713,PILONES
10878,PLANADORES COMPLETOS
12168,SISTEMAS DE ESCAPAMENTO DE AERONAVES
12428,SUPORTES ESPECIAIS PARA AERONAVES
12544,TANQUES AUXILIARES DE COMBUSTIVEL DE AERONAVES
12545,TANQUES DE COMBUSTIVEIS DE AERONAVES
12546,TANQUES DE COMBUSTIVEL FIXO DE AERONAVES
16733,AERONAVES
16734,AERONAVES DE ASAS FIXAS
16735,HELICES DE AERONAVES E COMPONENTES
16736,AERONAVES DE ASAS ROTATIVAS - HELICOPTEROS E ASSEMELHADOS
16737,COMPONENTES DE SISTEMA DE FREIOS E RODAS
16738,COMPONENTES DE SISTEMA HIDRAULICO. DE VACUO E DEGELAMENTO
16739,COMPONENTE DE SISTEMAS DE CONDICIONAMENTO DE AR. DO AQUECIMENTO E DE PRESSURIZACAO
16740,PLANADORES
16741,AERONAVES TELEGUIADAS
16742,COMPONENTES ESTRUTURAIS DE AERONAVES
16743,AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS
