id,pdm
12169,SLIDE - FOLHA DE ARQUIVO
12248,SOLUÇÃO REALÇADORA FLUORESCENTE
12540,TANQUE DE REVELACAO DE FOTOGRAFIA
12605,TELEMETRO FOTOGRAFICO
12771,TIRA CALIBRAGEM SENSITOMETRO
12994,TRIPE PARA FLASH
13455,VISOR DE MICROFILME
13516,ACESSORIO DE REVELACAO FOTOGRAFICA
13518,ACESSÓRIO FOTOGRÁFICO
13539,CÂMARA FILMAGEM / FILMADORA
13632,RETROPROJETOR - PECA / COMPONENTE
13714,VISOR ANTI-REFLEXIVO
13719,TELA IDENTIFICAÇÃO
13745,TELA CINEMATOGRÁFICA
13761,PÓ SUPERFÍCIE ADESIVA
13762,DIASAFLUORENO
13849,CÂMERA DIGITAL
14089,FILME PROVA IMPRESSÃO
14090,FILME ACABAMENTO PROVA
14407,PROTETOR NEGATIVO
14566,CÂMARA FOTOGRÁFICA DIGITAL
14570,CÂMERA FOTOGRÁFICA DIGITAL
15202,PAPEL FOTOGRÁFICO
15490,CILINDRO PROCESSADORA FILME
15536,FILTRO LENTE OBJETIVA
15554,FILME CINTILOGRAFIA
16219,LENTE RETROPROJETOR
16404,SUPORTE ADAPTAÇÃO TRIPÉ
17168,CÂMARAS CINEMATOGRÁFICAS
17169,CÂMARAS FOTOGRÁFICAS
17170,APRESENTADOR MULTIMÍDIA
17171,EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO
17172,SUPRIMENTOS FOTOGRÁFICOS
17173,EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS
17174,FILMES REVELADOS
17175,JOGOS E CONJUNTOS FOTOGRÁFICOS
17551,SISTEMA ILUMINAÇÃO - FOTOGRAFIA
17642,MESA ENROLADEIRA
17646,ESTOJO FOTOGRÁFICO
17651,PONTA TRANSPARENTE
17754,IMPRESSORA FOTOGRÁFICA
17951,CÂMARA FOTOGRÁFICA
17987,MONOPÉ
18679,MOLDURA TELA PROJEÇÃO
18844,PEÇA / ACESSÓRIO CÂMARA FOTOGRÁFICA / FILMADORA
