id,pdm
00577,PNEU VEÍCULO AUTOMOTIVO
00591,CÂMARA AR PNEU
00592,PNEU TRATOR RODAS DIRECIONAIS
00593,PNEU TRATOR RODAS TRAÇÃO
01664,ACESSORIO CAMARA DE AR
01692,ACESSÓRIO DE PNEUMÁTICO
03078,ARTIGO PARA REPARO DE CAMARA DE AR
03079,ARTIGO PARA REPARO DE PNEU
03081,ARTIGO REPARO PNEU / CAMARA DE AR
03538,BICO PNEU SEM CÂMARA
04323,CAMARA DE AR DE PNEU DE TRATOR E VEICULO DE TERRAPLENAGEM
04324,CÂMARA AR PNEU - AERONAVE
05321,COLA PARA REPARO DE PNEU
05323,COLA RAPIDA PARA REPARO DE PNEU
05324,COLA REPARO CAMARA DE AR
06801,EQUIPAMENTO MANUTENCAO E REPARO CAMARA DE AR
07109,ESTEIRA COM BANDA DE RODAGEM DE BORRACHA
07165,ESTOJO PARA REPARO DE PNEU
07168,ESTOJO REPARO CAMARA DE AR
08917,LONA PNEU
10131,NUCLEO VALVULA CAMARA DE AR
10916,PNEU - AERONAVE
10917,PNEU VEÍCULO MILITAR
10918,PNEU DIAGONAL CONVENCIONAL COM CAMARA - VEICULO AUTOMOTIVO
10919,PNEU DIAGONAL CONVENCIONAL SEM CAMARA - VEICULO AUTOMOTIVO
10920,PNEU MOTOCICLETA / MOTONETA / CICLOMOTOR
10921,PNEU ONIBUS / CAMINHAO
10922,PNEU RECAUCHUTADO
10924,PNEU TRATOR RODAS TRACAO
11317,PROTETOR CÂMARA DE AR
11627,REMENDO CAMARA DE AR
11628,REMENDO PARA PNEU
11629,REMENDO RAPIDO A FRIO
12782,TIRA RECAUCHUTAGEM
13249,VALVULA CAMARA DE AR
13481,VULCANIZADOR REMENDO CAMARA DE AR
13482,VULCANIZADOR REMENDO PNEU
13618,PNEU VEÍCULO TERRAPLENAGEM
15984,PNEU BICICLETA
16145,PNEU CARRINHO MÃO
16432,PNEU EMPILHADEIRA / CARREGADEIRA
16806,PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES
16807,PNEUS E CÂMARAS DE AR DE AERONAVES
16808,PNEUS MACIÇO E DE BAIXA PRESSÃO
16809,MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR
