"id","pdm","grupo"
00822,BACALHAU,89
00823,CARNE BOVINA IN NATURA,89
00824,CARNE IN NATURA,89
00825,CARNE PORCO IN NATURA,89
00826,CARNE FRANGO,89
00827,LINGUIÇA,89
00828,MORTADELA,89
00829,PRESUNTO,89
00830,SALSICHA,89
00834,CHANTILLY,89
00835,CREME DE LEITE,89
00836,COALHADA,89
00837,IOGURTE,89
00838,LEITE EM PÓ,89
00839,LEITE,89
00840,LEITE BOVINO PASTEURIZADO,89
00841,MANTEIGA,89
00842,QUEIJO,89
00843,REQUEIJÃO,89
00844,OVO,89
00845,OVO EM PÓ,89
00846,RICOTA,89
00847,DOCE LEITE,89
00850,AZEITE OLIVA,89
00851,MASSA TOMATE,89
00852,SAL,89
00853,VINAGRE,89
00858,MOLUSCO IN NATURA,89
00859,PEIXE CONSERVA,89
00860,SALAME,89
00879,AMIDO,89
00880,ARROZ,89
00881,AVEIA,89
00883,BISCOITO,89
00884,CANJICA,89
00885,LENTILHA,89
00886,FARINHA MANDIOCA,89
00887,FARINHA MILHO,89
00888,FARINHA TRIGO,89
00889,FÉCULA,89
00890,FEIJÃO,89
00891,FUBÁ,89
00892,MACARRÃO,89
00893,MILHO PIPOCA,89
00894,PÃO QUEIJO,89
00895,PIZZA,89
00896,POLVILHO DOCE,89
00897,SAGU,89
00898,DOCE MASSA,89
00899,FRUTOSE,89
00900,GELÉIA MOCOTÓ,89
00904,CRUSTÁCEO IN NATURA,89
00905,PEIXE IN NATURA,89
00908,PÓ PUDIM,89
00909,GELATINA,89
00910,SORVETE,89
00911,CAFÉ,89
00912,CHOCOLATE,89
00922,FRUTA EM CALDA,89
00923,GELÉIA FRUTA,89
00924,PEIXE EM CONSERVA,89
00925,SOPA,89
00926,ADOÇANTE,89
00927,COGUMELO EM CONSERVA,89
00928,CREME FRUTAS INFANTIL,89
00929,SUPLEMENTO NUTRICIONAL,89
00930,GLICOSE,89
00931,LEGUME EM CONSERVA,89
00932,SOPA INFANTIL,89
00933,LEITE CONDENSADO,89
00934,LEITE CÔCO,89
00935,MEL ABELHA,89
00936,MILHO EM CONSERVA,89
00937,ÓLEO VEGETAL COMESTÍVEL,89
00938,CHOCOLATE PÓ,89
00939,AZEITONA,89
00940,CONDIMENTO,89
00941,MAIONESE,89
00942,MOLHO TOMATE,89
00944,ÁGUA COCO,89
00945,ÁGUA MINERAL,89
00946,GELO,89
00947,REFRIGERANTE,89
00948,SUCO,89
00949,ACHOCOLATADO,89
00950,CERVEJA,89
00957,CIGARRO,89
01207,FRUTA IN NATURA,89
01219,ABÓBORA IN-NATURA,89
01265,BOMBOM,89
01637,ACELGA IN - NATURA,89
02058,AMENDOIM INDUSTRIAL,89
02059,ACUCAR CONFEITEIRO,89
02060,AÇÚCAR CRISTAL,89
02061,ACUCAR MASCAVO,89
02062,ACUCAR NAO REFINADO,89
02063,AÇÚCAR,89
02156,AGRIAO IN - NATURA,89
02164,ÁGUA POTÁVEL,89
02167,ÁGUA TÔNICA,89
02206,AIPIM ( MANDIOCA ) - FOLHA,89
02207,AIPIM IN NATURA,89
02276,ALFACE IN - NATURA,89
02298,ALHO EM PASTA,89
02299,ALHO EM PO,89
02300,ALHO PORRO IN - NATURA,89
02327,ALIMENTO CONGELADO CONSUMO HUMANO,89
02328,ALIMENTO DIETÉTICO INDUSTRIALIZADO,89
02329,ALIMENTO INDUSTRIALIZADO DE CONSUMO INFANTIL,89
02331,ALIMENTO PARA CRIANÇA,89
02339,ALMEIRAO IN - NATURA,89
02355,ALMONDEGA EM CONSERVA,89
02384,AMACIADOR DE CARNE,89
02386,AMACIADOR EM PO DE CARNE,89
02397,AMÊNDOA,89
02398,AMÊNDOA IN NATURA,89
02399,AMENDOA SECA,89
02400,AMENDOIM IN NATURA,89
03043,ARROZ IN - NATURA,89
03151,AVE CAÇA,89
03209,BALA,89
03267,BANANA IN - NATURA,89
03315,BANHA DE ORIGEM ANIMAL,89
03360,BARRA CEREAL,89
03437,LEGUME INDUSTRIALIZADO,89
03438,BATATA FRITA EMBALADA,89
03439,BATATA IN - NATURA,89
03494,BEBIDA ALCOÓLICA,89
03495,VINHO,89
03509,BERINGELA IN - NATURA,89
03510,BERTALHA IN - NATURA,89
03516,BETERRABA IN - NATURA,89
03678,BOLINHO DE PEIXE PRE - PREPARADO,89
03679,BOLO ALIMENTÍCIO,89
03876,BROA DE FUBÁ,89
03909,BROCOLIS IN - NATURA,89
03933,BROTO DE FEIJAO IN - NATURA,89
04069,CACAU IN - NATURA,89
04100,CAFE EM GRAO,89
04101,CAFÉ COM LEITE,89
04102,CAFE TORRADO,89
04220,CALDA,89
