id,pdm
11953,SATELITE - ESTRUTURA MONTADA / PROPULSOR
13358,VEICULOS / REBOQUES PARA TRANSPORTE DE VEICULOS ESPACIAIS
13360,VEICULOS ESPACIAIS COMPLETO MONTADOS / DESMONTADO S
16759,VEICULOS
16760,VEICULOS ESPACIAIS (ASTRONAVES)
16761,COMPONENTES DE VEICULOS ESPACIAIS
16762,SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS
16763,LANCADORES DE VEICULOS ESPACIAIS
16764,EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS
16765,EQUIPAMENTOS DE SOBREVIVENCIA NO ESPACO
16766,VEICULOS ESPACIAIS DIVERSOS
