id,pdm,grupo
00001,RESISTOR CARBONO,59
00002,RESISTOR FILME METÁLICO,59
00003,RESISTOR FIO,59
00004,DISJUNTOR BAIXA TENSÃO,59
00062,CONECTOR EMENDA,59
00100,ELO FUSÍVEL,59
00101,CONECTOR ESTRIBO TIPO CUNHA,59
00102,ISOLADOR SUPORTE,59
00103,GRAMPO LINHA VIVA,59
00285,AGENDA ELETRÔNICA,59
00469,DISJUNTOR,59
00470,DISJUNTOR MONOPOLAR,59
00471,DISJUNTOR MONOPOLAR MINI,59
00472,INTERRUPTOR,59
00473,INTERRUPTOR DIFERENCIAL RESIDUAL,59
00476,CONECTOR ADAPTAÇÃO TERMINAL,59
00477,CONECTOR ATERRAMENTO,59
00478,CONECTOR PARALELO,59
00479,CONECTOR SUPORTE,59
00480,PLUGUE,59
00481,PLUGUE BLINDADO,59
00484,TOMADA,59
00485,TOMADA BLINDADA,59
00486,TOMADA PISO,59
00487,FUSÍVEL LIMITADOR CORRENTE,59
00488,PÁRA-RAIOS DISTRIBUIÇÃO,59
00492,LUVA EMENDA COMPRESSÃO ESTANHADA,59
00493,PRENSA-FIOS,59
00494,CAPACITOR FIXO CERÂMICO,59
00495,HASTE ATERRAMENTO,59
00496,ANEL PROTEÇÃO FUSÍVEL D,59
00497,TRANSFORMADOR,59
00499,ISOLADOR PEDESTAL,59
00500,DIODO ZENER,59
00501,TIRISTOR POTÊNCIA,59
00502,ISOLADOR ROLDANA,59
00503,ISOLADOR PINO,59
00504,TUBO ISOLANTE,59
00505,ISOLADOR CASTANHA,59
00506,ISOLADOR DESCARREGADOR CHIFRE,59
00507,BUCHA ELÉTRICA TENSÃO ALTERNADA,59
00519,ISOLADOR DISCO,59
00537,PROGRAMADOR,59
00586,BASE RELÉ FOTOELÉTRICO ILUMINAÇÃO,59
00587,RELÉ COMUTAÇÃO,59
00590,CONTATOR AUXILIAR,59
00832,CHAVE FACA PORTA-FUSÍVEL,59
00903,ELETROCALHA,59
01007,FERRAGEM REDE ELÉTRICA,59
01294,SOQUETE COMPONENTE ELETRÔNICO,59
01668,ACESSÓRIO DE ANTENA VHF E UHF,59
01671,ACESSORIO DE CABO ELETRICO,59
01673,ACESSÓRIO/COMPONENTE ELÉTRICO ELETRÔNICO,59
01675,ACESSORIO DE DISJUNTOR,59
01687,ACESSORIO DE MONTAGEM DE CAPACITOR,59
01688,ACESSORIO DE MONTAGEM DE RESISTOR,59
01698,PEÇA/ACESSÓRI0 RELÉ,59
01708,LOCALIZADOR CABO,59
01714,ACESSÓRIO CAIXA PASSAGEM,59
01721,ACESSORIO PARA SOQUETE DE COMPONENTE ELETRONICO,59
02042,ACIONADOR ELETROMAGNÉTICO,59
02050,ACOPLADOR OPTRÔNICO,59
02076,ADAPTADOR DE ANTENA,59
02077,ADAPTADOR DE ANTENA DE GUIA,59
02078,ADAPTADOR DE ANTENA DE ONDA,59
02084,ADAPTADOR DE CONTADOR,59
02085,ADAPTADOR,59
02089,ADAPTADOR DE TERMINAL DE BATERIA,59
02189,AGULHA DE PARA - RAIOS TIPO FRANKLIM,59
02372,ALTO-FALANTE,59
02457,AMPLIFICADOR LINEAR,59
02458,AMPLIFICADOR OPERACIONAL,59
02498,ANEL DE PROTECAO DE DESCARGA,59
02534,ANTENA GPS,59
02536,ANTENA COLETIVA,59
02538,ANTENA DIRECIONAL,59
02539,ANTENA E ACESSORIO DE ONDA CURTA MEDIA E LONGA,59
02540,ANTENA E ACESSORIO DE SISTEMA EM SHF DE MICROONDA,59
02542,ANTENA AMPLIFICADORA,59
02543,ANTENA INTERNA,59
02544,ANTENA PARABÓLICA,59
02545,ANTENA PORTÁTIL,59
02546,ANTENA REFLETORA,59
02547,ANTENA ROMBICA,59
02548,ANTENA TELESCOPICA,59
02549,ANTENAS E ACESSORIOS PARA SISTEMA EM SHF - MICRONDAS,59
02768,APARELHO ELETRICO - ELIMINADOR INSETOS,59
02774,APARELHO ELETRONICO HIBRIDO,59
02775,APARELHO ELETRONICO INTEGRADO,59
02776,APARELHO ELETRONICO MAGNETICO,59
02777,APARELHO ELETRONICO MOLECULAR,59
02809,APARELHO OPTICO - ELETRONICO,59
03001,ARMACAO SECUNDARIA,59
03056,ARRUELA ISOLANTE,59
03108,ATENUADOR DE SINAL,59
03109,ATENUADOR FIXO CAPACITIVO,59
03110,ATENUADOR FIXO RESISTIVO,59
03111,ATENUADOR VARIAVEL CAPACITIVO,59
03112,ATENUADOR VARIAVEL RESISTIVO,59
03124,ATUADOR ELETROMAGNÉTICO,59
03131,AUTO TRANSFORMADOR A SECO,59
03144,AUTOTRANSFORMADOR,59
03147,AVALIADOR SISTEMA VIDEO,59
03279,BANCO DE RESISTORES,59
03312,BANDEJA METALICA PARA CABO ELETRICO,59
03314,BANDEJA PLASTICA PARA CABO ELETRICO,59
03362,BARRA DE CURTO - CIRCUITO PARA BATERIA,59
