id,pdm,grupo
01380,PORTA-PESO CONE,63
01476,DETECTOR METAIS,63
01477,FITA SINALIZAÇÃO,63
01492,CONE SINALIZAÇÃO,63
01493,POSTE FIXAÇÃO PLACA,63
01494,CIGARRA,63
01495,SENSOR MOVIMENTO,63
01497,CAVALETE SINALIZAÇÃO,63
01505,PLACA SINALIZADORA,63
01506,ALARME SONORO CONTRA-INCÊNDIO,63
01507,SINALIZADOR OBRA,63
01518,HOLOGRAMA SEGURANÇA,63
01519,DETECTOR FUMAÇA,63
01520,DETECTOR TÉRMICO,63
01531,SENSOR INFRAVERMELHO,63
01532,PAINEL ALARME,63
01556,BÓIA AMARRAÇÃO,63
01557,LANTERNA BALISAMENTO MARÍTIMO,63
01558,AUTOMATIZADOR PORTÃO,63
01559,CANCELA AUTOMÁTICA,63
01560,CAMPAINHA SEM FIO,63
01561,DETECTOR GÁS,63
01562,DETECTOR ÓPTICO,63
01583,AUTOMATIZADOR PORTA SOCIAL,63
01584,CAMPAINHA ELÉTRICA,63
01585,DETECTOR CHAMAS,63
01586,PORTA GIRATÓRIA,63
01587,PORTAL DETECTOR METAL,63
01588,RELÓGIO SINALEIRO DIGITAL,63
01700,ACESSORIO DE SINALEIRA DE FERROVIA,63
02044,ACIONADOR / JOYSTICK,63
02219,ALARME DE FUSIVEL QUEIMADO,63
02220,ALARME DE PRESSAO DE OXIGENIO DE AERONAVE,63
02221,ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE AERONAVE,63
02222,ALARME DE TREM DE POUSO,63
02223,ALARME MANUAL CONTRA GAS,63
02226,ALARME SONORO CONTRA INTRUSAO PREDIAL,63
02228,ALARME TIPO SIRENE INTERMITENTE,63
02429,AMORTECEDOR - ESTACIONAMENTO,63
02627,ANUNCIADORES DE ALARME,63
02754,APARELHO DETECTOR DE ARMA / EXPLOSIVO POR RAIO X,63
02755,APARELHO DETECTOR DE ARMA E EXPLOSIVO POR EMANACAO DE VAPOR - TIPO MALETA,63
02756,APARELHO DETECTOR DE EXPLOSIVO POR EMANACAO DE GAS,63
03162,AVISO DE ATERRAGEM,63
03291,BANDEIRA DE SINALIZACAO DE CODIGO INTERNACIONAL,63
03293,BANDEIRA DE SINALIZACAO METEOROLOGICA,63
03569,BIRUTA,63
03658,BOIA DE SINALIZACAO,63
03659,BÓIA SINALIZAÇÃO LUMINOSA,63
03972,BUZINA,63
03975,BUZINA DE VEICULO,63
03976,BUZINA ELÉTRICA DE VEÍCULO,63
03977,BUZINA MULTIAPLICAÇÃO,63
04124,CAIXA COMANDO SINALEIRA,63
04383,CAMPAINHA ELETRICA INDUSTRIAL,63
04384,CAMPAINHA MANUAL,63
04395,CANCELA FERROVIÁRIA,63
05041,CIRCUITO FECHADO TELEVISÃO,63
05453,COMPONENTE MECANICO - APARELHO DETECTOR DE METAL TIPO MALETA,63
05455,COMPONENTE MECANICO,63
05456,COMPONENTE MECANICO - APARELHO DETECTOR DE EXPLOSIVO POR EMANACAO DE GAS,63
05458,COMPONENTE MECANICO DE APARELHO DETECTOR DE ARMA / EXPLOSIVO POR RAIO X,63
05697,CONJUNTO ALARME CONTRA INTRUSÃO,63
05816,CONTROLADOR ELETRONICO DE TRAFEGO ( ONDA VERDE ),63
05820,CONTROLE DE ALARME DE AERONAVE,63
05880,CORNETA PNEUMATICA PARA NEVOEIRO,63
06054,DELIMITADOR TRÁFEGO,63
06126,DETECTOR DE DESCARRILHAMENTO,63
06127,DETECTOR GÁS COMBUSTÍVEL,63
06131,DETECTOR MEDIDOR OXIGÊNIO,63
06133,DETECTOR ESPECTROSCOPIA,63
06299,DISPOSITIVO ACIONAMENTO ALARME,63
06655,CONJUNTO CONTROLE ACESSO ÁREA RESTRITA,63
06658,SISTEMA ALARME GÁS,63
06659,EQUIPAMENTO DE ALARME SONORO CONTRA INCENDIO,63
06778,EQUIPAMENTO ELETRONICO DE COLETA DE PONTO ( FREQUENCIA ),63
06781,EQUIPAMENTO ELETRÔNICO INTEGRADO DE SEGURANÇA,63
07010,ESPELHO DE SINALIZACAO DE SEGURANCA,63
07114,ESTEIRA PREGO,63
07225,ETIQUETA PROTETORA ELETROMAGNÉTICA,63
07307,FAROL DE EMBARCACAO,63
