id,pdm
00122,TECLADO MICROCOMPUTADOR
00123,CARTUCHO IMPRESSÃO
00142,TONALIZADOR
00143,TINTA OFSETE
00206,APONTADOR MICROCOMPUTADOR
00207,CABO COAXIAL
00208,CABO REDE COMPUTADOR
00209,CANETA ÓTICA
00210,CHAVEADORA
00211,CILINDRO MÁQUINA IMPRESSORA / COPIADORA
00212,CONCENTRADOR
00213,CONJUNTO MULTIMÍDIA
00214,CONVERSOR VÍDEO
00215,DESCARBONADOR
00216,DISCO MAGNÉTICO
00217,DISQUETE
00219,FITA IMPRESSORA
00220,FITA MAGNÉTICA
00221,FONTE ALIMENTAÇÃO IMPRESSORA
00222,GABINETE
00223,IMPRESSORA JATO TINTA
00224,IMPRESSORA LASER
00225,IMPRESSORA MATRICIAL
00226,IMPRESSORA MULTIFUNCIONAL
00227,LEITORA CÓDIGO BARRA
00228,LEITORA DVD
00230,MONITOR VÍDEO
00231,PLACA REDE
00232,PROGRAMA APLICATIVO
00233,PROTETOR VARIAÇÃO TENSÃO
00234,PLACA COMUNICAÇÃO
00235,PLACA CONTROLADORA VÍDEO
00236,PLACA FAX MODEM
00237,ROTEADOR
00238,SCANNER
00239,SERVIDOR IMPRESSÃO
00240,MOUSE PAD
00241,TELA PROTEÇÃO MONITOR
00242,TORRE CD ROM
00243,UNIDADE CENTRAL PROCESSAMENTO
00244,UNIDADE DISCO
00253,TINTA MIMEÓGRAFO
00283,CHAVEADORAS
00284,TINTA IMPRESSORA
02041,ACIONADOR DISCO MAGNÉTICO / ÓPTICO - PROCESSAMENTO
02079,PONTO DE ACESSO
02083,CADERNO DIGITAL/DIGITALIZADOR
02092,ADAPTADOR DE VOZ PARA EQUIPAMENTO DE PROCESSAMENTO DE DADOS
02468,ANALISADOR DE DISCO MAGNETICO PARA PROCESSAMENTO DE DADOS
02471,ANALISADOR DE FITA MAGNETICA
02496,ANEL DE GRAVACAO DE FITA MAGNETICA
02511,ANEL SUPORTE DE FITA MAGNETICA
03020,ARMAZENAMENTO FOTO ( SMARTMEDIA )
03114,ATIVADOR DE LEITORA / COPIADORA DE MICROFILME SISTEMA COM
03116,ATIVADOR/DESATIVADOR PARA LEITORA/COPIADORA
03305,BANDEJA IMPRESSORA
03436,BASTIDOR EQUIPAMENTO PROCESSAMENTO DADOS
04125,CAIXA DE CONCENTRADOR DE TECLADO
04132,CAIXA DE FONTE DE CPU
04257,CALIBRADOR MONITOR
04392,CANAL DE DADOS
04652,CARTÃO PAPEL PERFURAÇÃO
04671,CARTUCHO TINTA FAX
05015,CINTA DE CARACTERES DE IMPRESSORA
05042,CANETA PARA TOQUE TELA
05079,CLIP CARTUCHO
05287,COBERTURA DE ACRILICO PARA IMPRESSORA
05384,DIVISOR SINAL VÍDEO
05409,COMPONENTE DE ACESSO MEMORIA COMPUTADOR
05521,COMPUTADOR
05522,SWITCH
05570,CONECTOR / CABO ( FLAT CABLE ) - MICROCOMPUTADOR
05571,CONECTOR / CABO IMPRESSORA - SERIAL / PARALELO
05666,CONJUNTO PARA PLOTTER
05686,CONJUNTO LIMPEZA DRIVE
05732,CONJUNTO MANUTENÇÃO IMPRESSORA / COPIADORA
05780,CONSOLE DE EQUIPAMENTO DE PROCESSAMENTO DE DADOS
05809,CONTROLADOR DE PROCESSO
05819,CONTROLADORA DE DISCO PARA COMPUTADOR
05980,RADIOCROMATÓGRAFO
06026,CURSOR MESA DIGITALIZADORA
06104,DESMAGNETIZADOR DE FITA MAGNETICA
06251,DISCO COMPACTO - CD/DVD
06337,DISQUETE - URNA ELETRONICA
06357,DISTRIBUIDOR INTERNO OTICO
06484,ELIMINADOR DE ESTATICA - TECLADO ( INFORMATICA )
06526,EMISSOR DE SENHA - SISTEMA AUTO-ATENDIMENTO
06634,EQUIPAMENTO / COMPONENTE - PROCESSADOR DE IMAGEM ( SCANNER )
06661,EQUIPAMENTO DE AVALIACAO - QUALIDADE / ATENDIMENTO
06669,EQUIPAMENTO DE COLETA DE DADOS
06727,EQUIPAMENTO DE PROCESSAMENTO DE DADOS
06775,EQUIPAMENTO DISTRIBUIÇÂO CABOS
06853,EQUIPAMENTO SEGURANÇA REDE
07086,ESTAÇÃO TRABALHO PROCESSAMENTO DE DADOS
07240,EXPANSAO DE MEMORIA
07440,FILME IMPRESSORA
07442,CARTUCHO TONER COPIADORA / IMPRESSORA PANASONIC
07565,FITA DE CONTROLE DE SALTO DE CARRO AUTOMATICO
07571,CABO SATA
07577,SISTEMA CONTÍNUO TINTA IMPRESSORA / COPIADORA
07582,FITA GRAVAÇÃO DADOS
07585,FITA IMPRESSORA - CODIGO DE BARRA
07590,RIBBON
07597,FITA LIMPEZA DRIVE
07711,FONTE DE DISCO MAGNETICO
07817,CILINDRO FOTORRECEPTOR MÁQUINA COPIADORA
08091,GRAVADOR DISQUETE
08092,GRAVADOR FITA CASSETE
08095,GRAVADOR FITA MAGNÉTICA
08308,IMPRESSORA - BOBINA
08309,IMPRESSORA - CARTÃO / CRACHÁ
08310,IMPRESSORA IDENTIFICADORA
08311,IMPRESSORA CÓDIGO DE BARRAS
08312,IMPRESSORA - ESCRITA BRAILLE
08313,IMPRESSORA TÉRMICA
08316,IMPRESSORA DIGITAL
08320,IMPRESSORA 3D
08353,INDICADOR DIGITAL DE POSICAO
08432,INTERCALADORA DE CARTOES
08435,INTERFACE - PROCESSAMENTO / TRANSFERENCIA DE DADOS
08442,INTERPRETADORA CARTÕES
08578,CONJUNTO LIMPEZA IMPRESSORA / COPIADORA
08760,LEITORA DE CARACTERES MAGNETIZADORES
08762,LEITORA CARTÃO / PEÇAS E ACESSÓRIOS
08763,LEITORA DE FITA DE PAPEIS
08766,LEITORA ÓTICA
08916,LONA PARA PLOTER
09164,MAQUINA DE CLASSIFICAR CARTAO PERFURADO
09171,MAQUINA DE CONFERIR CARTAO PERFURADO
09217,MAQUINA DE REPRODUZIR CARTAO PERFURADO
09227,MAQUINA DE TRADUZIR CARTAO PERFURADO
09325,MÁQUINA RECARGA CARTUCHO
09344,MAQUINA PERFURADORA CARTAO - PROCESSAMENTO DADOS
09345,MAQUINA PERFURADORA SUMARIA
09361,MAQUINAS DE CARTAO PERFURADO PARA ENTRADA DE DADOS
