"id","pdm","grupo"
01197,BALÃO FESTA,78
01199,APITO,78
01266,BOLA SINUCA,78
01386,PLATAFORMA FUNDO PISCINA,78
01400,CORDA DE PULAR,78
02040,ACIONADOR DE JOGO TIPO JOYSTICK,78
02381,ALVO DE ARCO E FLEXA,78
02629,ANZOL DE PESCARIA,78
02638,APARELHO / ACESSÓRIO - ACONDICIONAMENTO FÍSICO,78
02640,APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO,78
02649,APARELHO APOLO DE GINÁSTICA / COMPONENTES,78
02746,APARELHO DE TREINAMENTO FISICO,78
02829,APARELHO PARA DIVERSÃO,78
02976,ARCO DE GINÁSTICA RÍTMICA ( BAMBOLÊ ),78
03027,ARPÃO DE PESCA,78
03233,BALANÇO INFANTIL,78
03323,BARALHO,78
03431,BASTÃO GINÁSTICA,78
03522,BICICLETA ERGOMÉTRICA,78
03534,BICO ENCHER BOLA,78
03612,BLOCO PARTIDA PARA CORRIDA,78
03628,BLOQUEADOR MOSQUETÃO,78
03667,BOLA MEDICINAL,78
03670,BOLA SQUASH,78
03671,BOLA DE TÊNIS,78
03672,BOLA DE TÊNIS DE MESA,78
03673,BOLA DE VIDRO,78
03674,BOLA HANDEBOL - FEMININA,78
03675,BOLA HANDEBOL - MASCULINA,78
03676,BOLA FUTEBOL,78
03677,BOLA POLO AQUÁTICO,78
03801,BONECA / BONECO,78
03867,BRINQUEDO DE ARMAR,78
03868,BRINQUEDO EM GERAL,78
03869,BRINQUEDO INFLAVEL,78
04308,CAMA ELÁSTICA,78
04405,CANELEIRA,78
04582,CARRETILHA USO PESCARIA,78
04596,CARRO BONECA - BRINQUEDO,78
04598,CARRO DE BEBÊ,78
04669,CARTUCHO PARA JOGO TIPO VIDEO GAME,78
04678,CASA BONECA - BRINQUEDO,78
05026,CINTO ELÁSTICO - USO NATAÇÃO,78
05028,CINTO ESCALADA,78
05030,CINTURAO ABDOMINAL LOMBAR,78
05341,COLCHONETE GINÁSTICA,78
05349,COLETE PISCINA,78
05942,COTOVELEIRA,78
06033,DADO JOGO,78
06036,DARDO PEÇAS E ACESSÓRIOS,78
06256,DISCO DE MATERIAL METALICO PARA ESPORTE,78
06267,DISCO PARA ARREMESSO,78
06662,EQUIPAMENTO DE BASQUETEBOL,78
06698,EQUIPAMENTO DE FUTEBOL,78
06723,EQUIPAMENTO DE PESCA ESPORTIVA,78
06762,EQUIPAMENTO DE TENIS DE MESA,78
06773,POSTE REDE VOLEIBOL,78
06811,EQUIPAMENTO / ACESSÓRIOS DESPORTO,78
06812,EQUIPAMENTO PARA CAMPO DE RECREACAO,78
06820,EQUIPAMENTO PARA DIVERSÃO,78
06827,EQUIPAMENTO PARA GINASIO DE EDUCACAO FISICA,78
06886,ESCADA HORIZONTAL DE GINASTICA,78
06929,ESCORREGADEIRA - BRINQUEDO,78
06930,ESCORREGADOR - FIBRA DE VIDRO,78
07022,ESPIROBOL,78
07100,ESTANTE MATERIAL ESPORTIVO,78
07111,ESTEIRA DE PRAIA,78
07113,ESTEIRA ERGONOMICA,78
07115,ESTEIRA ELÉTRICA,78
07116,ESTEIRA ROLANTE NAO ELETRICA,78
07253,EXTENSOR DE BRACO PARA GINASTICA,78
07921,GANGORRA - BRINQUEDO,78
08166,HALTERE,78
08167,HALTERE - USO PISCINA,78
08532,JOELHEIRA,78
08533,JOGO / BRINQUEDO PEDAGÓGICO,78
08543,JOGO DE DAMAS,78
08544,JOGO DOMINÓ,78
08547,JOGO DE GAMAO,78
08555,JOGO DE VISPORA,78
08556,JOGO XADREZ,78
08557,JOGO FERRAMENTA,78
08960,LUVA DE BOXE,78
08973,LUVA HIDROGINÁSTICA,78
09016,MADEIRA PARA DIVERSAO,78
09406,MASCARA DE ESGRIMA,78
09423,MASSA MODELAR,78
09496,MATERIAL PEDAGÓGICO,78
09624,BOLA ESPORTIVA,78
09629,MESA DE PEBOLIM,78
09632,MESA DE SINUCA,78
09634,MESA TÊNIS DE MESA,78
09653,MESA PARA SINUCA,78
09877,MOLINETE DE USO EM PESCARIA,78
09909,MOSQUETÃO,78
10019,MUNHEQUEIRA,78
10030,PÓDIO,78
10329,PANAGEM - PARA CONFECCAO DE APARELHO DE PESCA,78
10462,PARQUE INFANTIL,78
10506,PATIM,78
10507,PATINETE,78
10687,PESO DE GINÁSTICA,78
10688,PESO PARA ARREMESSO,78
10689,PETECA,78
10699,PIAO - BRINQUEDO,78
10897,PLATAFORMA PARA GINÁSTICA,78
11083,PORTA PARA REDE - PESCA PROFISSIONAL,78
11131,PRANCHA PARA ABDOMINAL,78
11132,PRANCHA NATAÇÃO,78
11414,RAQUETE ESPORTIVA,78
11503,REDE ESPORTE,78
11505,REDE PESCA,78
11510,REDE COLETORA,78
11907,SACOLA DE MATERIAL ESPORTIVO,78
12466,TABULEIRO,78
12476,TACO DE ESPORTE,78
12552,TARRAFA,78
12831,TORNOZELEIRA,78
12850,TOUCA NATACAO,78
12968,TRICICLO INFANTIL,78
13302,VARA PESCA,78
13368,VELOCIPEDE,78
14398,PALMAR,78
14417,ESPAGUETE HIDROGINÁSTICA,78
14832,BOLA VOLEIBOL,78
14833,BOLA FUTSAL,78
14835,BOLA HANDEBOL,78
14836,BOLA BASQUETEBOL,78
